FAD,LAD,Species name,Size [um],Source or reference (URL),Quality,remeasured Holotype,Remarks,Link to Remarks or Taxo Changes,,,
"55,4","55,3",Acarinina africana,300,https://www.mikrotax.org/pforams/index.php?taxon=Acarinina%20africana&module=pf_cenozoic,Holotype dimension,,Lenghts excluding tubulospines or including tubulospoines,,,,
"53,2",47,Acarinina alticonica,310,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20alticonica,Holotype dimension,,Change in Taxa Name,,,,
"55,7","46,4",Acarinina angulosa,400,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20angulosa,Holotype dimension,,unclear in Taxa Name,,,,
"50,4","48,7",Acarinina aspensis,500,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20aspensis,Size Holotype unknown,,Scale missing/ Data missing,,,,
"49,8","43,7",Acarinina boudreauxi,280,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20boudreauxi,Holotype dimension,,,,,,
49,"40,5",Acarinina bullbrooki,430,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20bullbrooki,Holotype dimension,,,,,,
"56,5","50,1",Acarinina coalingensis,350,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20coalingensis,Holotype dimension,,,,,,
"50,45","30,3",Acarinina collactea,180,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20collactea,Holotype dimension,,,,,,
"50,8",44,Acarinina cuneicamerata,410,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20cuneicamerata,Holotype dimension,,,,,,
"43,2","31,8",Acarinina echinata,300,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20echinata,Holotype dimension,,,,,,
"56,3","51,2",Acarinina esnaensis,440,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20esnaensis,Holotype dimension,,,,,,
"55,8","50,4",Acarinina esnehensis,400,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20esnehensis,Holotype dimension,,,,,,
54,"50,4",Acarinina interposita,550,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20interposita,Holotype dimension,,,,,,
"49,25",38,Acarinina mcgowrani,300,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20mcgowrani,Holotype dimension,,,,,,
"59,25","56,3",Acarinina mckannai,"261,9047619",https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20mckannai,Paratype dimension,,,,,,
"42,5","35,8",Acarinina medizzai,190,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20medizzai,Holotype dimension,,,,,,
"59,5","56,2",Acarinina nitida,"277,7777778",https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20nitida,Holotype dimension,,,,,,
"52,3",47,Acarinina pentacamerata,500,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20pentacamerata,Holotype dimension,,,,,,
"48,7",40,Acarinina praetopilensis,380,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20praetopilensis,Holotype dimension,,,,,,
"50,8","38,8",Acarinina primitiva,290,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20primitiva,Holotype dimension,,,,,,
"50,4","42,3",Acarinina pseudosubsphaerica,190,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20pseudosubsphaerica,Holotype dimension,,,,,,
"55,5","47,25",Acarinina pseudotopilensis,400,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20pseudotopilensis,Holotype dimension,,,,,,
47,"40,5",Acarinina punctocarinata,330,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20punctocarinata,Holotype dimension,,,,,,
54,"50,4",Acarinina quetra,500,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20quetra,Holotype dimension,,,,,,
"42,8","38,2",Acarinina rohri,370,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20rohri,Holotype dimension,,,,,,
"55,45","55,3",Acarinina sibaiyaensis,290,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20sibaiyaensis,Holotype dimension,,,,,,
"56,4","46,4",Acarinina soldadoensis,"331,0344828",https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20soldadoensis,Holotype dimension,,,,,,
"60,8","59,3",Acarinina strabocella,320,https://www.mikrotax.org/system/index.php?dir=pf_cenozoic/Truncorotaloididae/Acarinina/Acarinina%20strabocella,Holotype dimension,,,,,,
