"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N1",NA,70.6,69.2,"Muricohedbergella holmdelensis"
"2","N101","N76",60.8,60.2,"Morozovella praeangulata-Morozovella angulata"
"3","N102","F8265",56.409668474535,56.2,"Acarinina subsphaerica"
"4","N103","N102",56.2,55.7,"Acarinina mckannai-Acarinina soldadoensis"
"5","N104","N103",55.7,55.45,"Acarinina esnehensis"
"6","N106","N104",55.45,55.4,"Acarinina sibaiyaensis"
"7","N109","N103",55.7,52.6,"Acarinina soldadoensis"
"8","N110","F4553",50.3458342018134,49.55,"Acarinina interposita-Acarinina pentacamerata"
"9","N112","F2792",42.4918825255637,41.6,"Acarinina pentacamerata-Acarinina collactea"
"10","N115","F7868",52.4536954157923,51.6,"Acarinina soldadoensis"
"11","N117","F7620",51.063370714159,50.8,"Acarinina soldadoensis"
"12","N119","F97",43.9669820049754,43.2,"Acarinina alticonica-Acarinina pseudosubsphaerica"
"13","N122","F49949",2.12614257229492,2,"Globorotalia scitula"
"14","N125","F4211",56.7894976220117,56.2,"Acarinina nitida"
"15","N126","F5783",39.4344017526096,39,"Acarinina coalingensis-Acarinina primitiva"
"16","N128","F3312",55.3065161546739,54.6,"Acarinina esnaensis-Acarinina wilcoxensis"
"17","N13","N5",55.88,48.7,"Globanomalina australiformis"
"18","N130","N128",54.6,53.2,"Acarinina pseudotopilensis"
"19","N131","F6537",49.7106282408931,47.25,"Acarinina pseudotopilensis"
"20","N133","F992",44.8264947815379,44.65,"Acarinina boudreauxi-Acarinina bullbrooki"
"21","N136","N131",47.25,45,"Acarinina praetopilensis-Acarinina mcgowrani"
"22","N137","N136",45,44.5,"Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus"
"23","N139","F57757",44.3557291739178,44,"Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus"
"24","N142","N136",45,44.35,"Acarinina praetopilensis"
"25","N144","F8560",42.0085403975919,41.7,"Acarinina praetopilensis-Acarinina topilensis"
"26","N145","F8613",41.378816612014,41,"Acarinina topilensis"
"27","N149","N126",39,37.2,"Dentoglobigerina galavisi"
"28","N15","F90252",40.5172123244249,40,"Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides"
"29","N150","F63481",23.8067314752553,22,"Paragloborotalia pseudokugleri-Paragloborotalia kugleri"
"30","N193bis","F65941",35.6130691677728,30.5,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"31","N152","F24989",13.2892442114378,13.1,"Fohsella peripheroronda-Paragloborotalia birnageae-Fohsella peripheroacuta-Fohsella praefohsi"
"32","N156","F63177",11.8906977827637,10.8,"Paragloborotalia continuosa"
"33","N157","N156",10.8,8,"Paragloborotalia continuosa-Neogloboquadrina acostaensis"
"34","N160","F58661",7.26400693137664,5.7,"Paragloborotalia continuosa-Neogloboquadrina acostaensis"
"35","N163","N149",37.2,34.4,"Dentoglobigerina galavisi"
"36","N165","F18913",32.8817268294352,32.7,"Dentoglobigerina sp-Dentoglobigerina galavisi-Dentoglobigerina tapuriensis"
"37","N166","F21108",32.100110056,32.1,"Dentoglobigerina tapuriensis"
"38","N168","F20742",26.9254804087407,25.5,"Dentoglobigerina sellii"
"39","N17","F90425",38.030204879053,37.3,"Turborotalia pomeroli-Turborotalia increbescens-Turborotalia cerroazulensis"
"40","N171","F19276",32.545515310769,32.5,"Dentoglobigerina galavisi"
"41","N172","F20195",31.0304684737319,29.5,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"42","N175","F19192",32.4235033868509,27.3,"Dentoglobigerina galavisi"
"43","N177","N175",27.3,27.2,"Dentoglobigerina galavisi"
"44","N179","N175",27.3,24.1,"Dentoglobigerina larmeui"
"45","N18","F89272",35.1496319700219,34.5,"Turborotalia pomeroli-Turborotalia cerroazulensis"
"46","N182","N2",64.9,62.3,"Parasubbotina aff_pseudobulloides-Parasubbotina varianta"
"47","N184","N182",62.3,60.5,"Parasubbotina varianta"
"48","N186","F68385",57.5455955868173,55.5,"Parasubbotina varianta"
"49","N187","N186",55.5,55.2,"Parasubbotina varianta"
"50","N188","N187",55.2,54.5,"Parasubbotina varianta"
"51","N190","N187",55.2,53.5,"Globorotaloides quadrocameratus"
"52","N191","N188",54.5,46.15,"Paragloborotalia griffinoides"
"53","N193","N191",46.15,37.2,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"54","N195","F64776",29.8885371490242,29.8,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"55","N198","N2",64.9,64.87,"Muricohedbergella monmouthensis"
"56","N199","N190",53.5,44.5,"Globorotaloides quadrocameratus"
"57","N2","N256",64.95,64.9,"Muricohedbergella monmouthensis"
"58","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"59","N203","N295",15.8,13.8,"Globorotaloides hexagonus"
"60","N206","N190",53.5,43.4,"Globorotaloides suteri-Catapsydrax unicavus"
"61","N207","F11628",40.6153757334617,37.9,"Catapsydrax howei"
"62","N21","F88942",33.5024585744995,32.9,"Turborotalia increbescens-Turborotalia ampliapertura"
"63","N210","F44332",41.914703181705,39.4,"Globorotaloides suteri-Catapsydrax unicavus"
