"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"2","N206","N190",53.5,43.4,"Globorotaloides suteri-Catapsydrax unicavus"
"3","N295","N998",26.3,15.8,"Globorotaloides eovariabilis"
"4","N314","N308",54.5,44.15,"Globoturborotalita bassriverensis"
"5","N315","F90725",18.2286983340001,4.5,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"6","T189","N188",54.5,40.5,"Parasubbotina varianta-Parasubbotina pseudowilsoni"
"7","T192","N191",46.15,33.7,"Paragloborotalia griffinoides"
"8","T200","N199",44.5,33.7,"Globorotaloides quadrocameratus"
"9","T33","N26",15.15,4.8,"Globorotalia challengeri-Globorotalia juanai"
"10","T367","N366",29.4,4,"Protentella prolixa-Protentella nicobarensis"
"11","T372","N291",21.5,2,"Globigerina eamesi"
"12","T373","F45911",11.4348197350772,0.6,"Globoturborotalita druryi"
"13","F38199","N334",15.1,3.71733802702076,"Globigerinoides elongatus-Globigerinoides ruber-Globigerinoides seigliei"
"14","F66274","N193",37.2,24.484773185188,"Paragloborotalia pseudokugleri-Paragloborotalia kugleri"
"15","F90725","N314",44.15,18.2286983340001,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"16","F9068","N70",60.75,49.3156503036286,"Alicantina lozanoi-Alicantina prolata"
"17","F3082","N119",43.2,32.8792959569581,"Acarinina echinata"
"18","F62775","N149",37.2,20.8785728128953,"Paragloborotalia continuosa"
