"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"2","N295","N998",26.3,15.8,"Globorotaloides eovariabilis"
"3","N314","N308",54.5,44.15,"Globoturborotalita bassriverensis"
"4","T192","N191",46.15,33.7,"Paragloborotalia griffinoides"
"5","T200","N199",44.5,33.7,"Globorotaloides quadrocameratus"
"6","T214","N212",27.5,10.9,"Globorotaloides stainforthi-Catapsydrax parvulus"
"7","T323","F46568",28.4751889045404,16.3,"Globoturborotalita labiacrassata"
"8","T33","N26",15.15,4.8,"Globorotalia challengeri-Globorotalia juanai"
"9","T362","N221",44.6,34,"Clavigerinella eocanica"
"10","T367","N366",29.4,4,"Protentella prolixa-Protentella nicobarensis"
"11","T372","N291",21.5,2,"Globigerina eamesi"
"12","F9192","N70",60.75,49.2312502052123,"Alicantina lozanoi-Alicantina prolata"
"13","F64543","N191",46.15,35.2328497835598,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"14","F45850","N291",21.5,5.67026590137277,"Globoturborotalita druryi"
"15","F66178","N149",37.2,26.9518181729604,"Paragloborotalia pseudokugleri-Paragloborotalia kugleri"
"16","F90673","F90495",35.8720262232516,12.5298697580625,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"17","F29052","N276",47.55,33.2099824527651,"Subbotina roesnaesensis-Globigerina officinalis"
