taxon	min_age	max_age
N3	62	70.6
T100	54.2	59.4
T118	46.4	56.2
T105	50.4	55.7
T107	55.3	55.45
T113	30.3	52.6
T120	42.3	50.8
T127	38.8	56.2
T129	50.9	56.2
T14	43.8	55.88
T148	40.3	54.6
T135	40.5	47.25
T143	38	45
T146	40.3	41.7
N163	34.4	39
N17	37.3	48.7
T153	21.5	37.2
T154	11.9	22
T161	1.7	32.9
N165	32.7	34.4
T167	25.5	32.7
N168	25.5	32.1
N171	32.5	32.7
N172	29.5	32.5
N175	27.3	32.5
N177	27.2	27.3
T180	11.2	27.3
T19	33.8	37.3
T183	59.7	64.9
T189	40.5	62.3
T200	33.7	55.2
T192	33.7	54.5
T197	15.1	46.15
N203	13.8	44.5
T213	17.3	53.5
T208	33.7	43.4
T24	32.9	37.3
T236	45.4	55.5
T219	44	49.25
T362	34	48.1
T228	33.7	44.6
T233	37.3	47.55
T238	42.3	46.4
T247	35.5	43.95
T242	36	43.85
T249	34.3	43
N25	18.3	18.8
T252	39.8	43.9
T254	40	43.75
T67	64.85	69.2
N257	64.8	64.95
T263	55.55	64.8
N32	14.8	18.3
T284	23.8	55.6
N267	45.7	49.55
N269	42.8	45.7
N27	5.3	18.3
T272	32.2	42.8
T274	32.6	33.4
T280	19.3	30.5
T288	0	28.9
T372	2	25
T299	0	10.2
N30	14.6	14.8
T303	0	3.8
N305	58.7	61.2
T307	54.45	58.7
T309	52.5	55.4
T313	30.3	58.7
N318	42.4	54.5
T316	0	44.15
T320	23.8	42.4
N322	30.3	42.4
T356	1.3	30.3
T361	15.1	23.8
T360	10.8	22.7
T330	1.3	21
T341	0	22.5
T44	0	14.6
T347	0	17.3
T350	0	14.3
T39	2.4	10.3
T229	33.7	37.5
T162	0	5.7
T304	0	30.2
T12	45.2	62
T41	4.5	10
T43	0	5.8
N47	8.2	14.8
T50	0	8.2
T9	32.2	62
T123	0	8.2
T53	4.4	7.2
T61	0	5.7
T63	1.2	3.4
T66	0	1.4
T71	60.7	64.87
N72	59.5	60.9
N101	60.2	61.15
T266	27.2	48.4
N79	58	58.8
T78	54.45	60.2
T85	50.8	60.2
T87	38	55.85
T93	50.8	55.9
T95	43.6	54
T96	43.9	52.4
N125	56.2	60.8
T10	32	35.8
T108	55.3	55.4
T11	55.9	59.38
T111	48.7	49.55
T114	35.8	41.6
T116	44	51.6
T121	31.8	43.2
T124	0	2
T132	50.4	53.2
T134	40.5	44.65
T138	40.1	44.5
T140	38	44.35
T141	42.3	44
T147	38.2	41
T155	6.7	13.1
T158	0	8
T159	0	10.8
T16	37.2	40
T164	27.4	34.4
T169	24.1	25.5
T170	18.8	25.5
T173	24.3	29.5
T174	0	29.5
T176	3	27.2
T178	3.3	27.2
T181	4.8	24.1
T185	59.3	60.5
T194	11.4	30.5
T196	27.1	29.8
T20	33.8	34.5
T202	22.5	30.4
T204	4.8	13.8
T205	0	13.8
T209	34.3	37.9
T211	34.3	39.4
T214	10.9	27.5
T216	50.9	51.5
T22	30.25	32.9
T222	42.7	47.2
T224	41.4	43.7
T226	38.1	41.3
T230	33.7	36.4
T234	43.1	45.25
T243	35.8	38
T245	36.3	43.75
T250	33.8	38.4
T255	34.3	40.3
T258	60.9	64.8
T260	59.3	63.7
T268	32.1	45.7
T270	33.7	42.8
T275	27.2	32.9
T277	38	47.55
T28	3.9	5.3
T282	22.5	27.6
T287	18.8	23.2
T29	0	5.3
T294	0	0.3
T297	12.1	15.8
T302	0	0.3
T31	14.2	14.6
T317	0	4.5
T321	23.8	34.5
T323	16.3	30.3
T328	0	7.5
T33	4.8	15.15
T331	1.6	3.3
T333	12.1	17.5
T335	0	15.1
T338	0	17
T340	2	3.3
T343	16.4	21.1
T346	3.6	11.5
T351	0	2
T353	2.3	12.1
T355	4.3	11.5
T357	47.55	49.55
T359	28.5	38.5
T36	2.2	6.5
T363	40	45.35
T365	0	5.2
T367	4	29.4
T369	55.3	55.5
T371	54	54.5
T373	0.6	21.5
T38	1.7	5.7
T46	0	3.2
T49	0	3.5
T55	0.9	5.5
T57	3.5	4.3
T60	0.4	1
T65	0	0.8
T7	39.3	45.25
T73	55.9	59.5
T74	43.6	59.5
T75	43	60.75
T81	54.45	58
T82	55.45	58
T91	51.6	54.1
T92	50.4	54.5
T97	45.15	47.19
T999	23.8	26.3
