taxon,max_age,min_age
Acarinina_africana_Ia,55.78,55.71
Acarinina_alticonica_Ia,53.53,46.49
Acarinina_angulosa_Ia,56.52,45.98
Acarinina_aspensis_Ia,50.01,47.93
Acarinina_boudreauxi_Ia,49.23,43.27
Acarinina_bullbrooki_Ia,48.18,40.35
Acarinina_coalingensis_Ia,57.79,49.62
Acarinina_collactea_Ia,50.01,23.45
Acarinina_cuneicamerata_Ia,50.01,43.53
Acarinina_echinata_Ia,42.98,28.69
Acarinina_esnaensis_Ia,57.56,50.9
Acarinina_esnehensis_Ia,56.81,50.01
Acarinina_interposita_Ia,54.54,50.01
Acarinina_mcgowrani_Ia,48.51,37.92
Acarinina_mckannai_Ia,60.59,57.56
Acarinina_medizzai_Ia,42.08,28.36
Acarinina_nitida_Ia,60.86,57.45
Acarinina_pentacamerata_Ia,52.39,46.49
Acarinina_praetopilensis_Ia,47.93,39.92
Acarinina_primitiva_Ia,50.36,38.72
Acarinina_pseudosubsphaerica_Ia,50.01,41.88
Acarinina_pseudotopilensis_Ia,55.93,46.7
Acarinina_punctocarinata_Ia,46.49,40.35
Acarinina_quetra_Ia,54.54,50.01
Acarinina_rohri_Ia,42.38,38.12
Acarinina_sibaiyaensis_Ia,55.93,55.71
Acarinina_soldadoensis_Ia,57.67,45.98
Acarinina_strabocella_Ia,62.15,60.65
Acarinina_subsphaerica_Ia,60.76,54.78
Acarinina_topilensis_Ia,42.78,40.18
Acarinina_wilcoxensis_Ia,56.52,50.5
Alicantina_lozanoi_Ia,52.43,42.34
Alicantina_prolata_Ia,54.54,43.88
Astrorotalia_palmerae_Ia,48.9,46.95
Beella_digitata_Ia,5.05,0
Beella_praedigitata_Ia,12.53,0.31
Berggrenia_pumilio_Ia,2,0
Candeina_nitida_Ia,9.41,0
Candeina_praenitida_Ia,8.71,6
Cassigerinella_chipolensis_Ia,33.92,10.96
Cassigerinella_eocaenica_Ia,38.52,13.27
Cassigerinelloita_amekiensis_Ia,49.46,44.51
Catapsydrax_africanus_Ia,38.92,34.69
Catapsydrax_dissimilis_Ia,38.92,17.54
Catapsydrax_globiformis_Ia,40.26,34.69
Catapsydrax_howei_Ia,43.84,33.92
Catapsydrax_unicavus_Ia,55.5,6.415
Chiloguembelina_crinita_Ia,60.76,43.75
Chiloguembelina_cubensis_Ia,42.58,22.96
Chiloguembelina_midwayensis_Ia,65.72,56.81
Chiloguembelina_morsei_Ia,65.81,63.6
Chiloguembelina_ototara_Ia,43.88,32.1
Chiloguembelina_parallela_Ia,55.15,54.03
Chiloguembelina_subtriangularis_Ia,63.33,61.19
Chiloguembelina_trinitatensis_Ia,57.1,54.78
Chiloguembelina_wilcoxensis_Ia,57.79,54.03
Ciperoella_anguliofficinalis_Ia,35.17,15.51
Ciperoella_angulisuturalis_Ia,29.18,20.94
Ciperoella_ciperoensis_Ia,29.91,22.92
Ciperoella_fariasi_Ia,29.55,21.66
Clavatorella_bermudezi_Ia,16.39,12.27
Clavigerinella_akersi_Ia,46.67,42.28
Clavigerinella_colombiana_Ia,46.83,42.88
Clavigerinella_eocanica_Ia,47.42,34.3
Clavigerinella_jarvisi_Ia,46.7,42.88
Cribrohantkenina_inflata_Ia,36.44,33.92
Dentigloborotalia_anfracta_Ia,5.72,0
Dentoglobigerina_altispira_Ia,22,3.13
Dentoglobigerina_baroemoenensis_Ia,30.6,2.947
Dentoglobigerina_binaiensis_Ia,25.21,15.99
Dentoglobigerina_galavisi_Ia,40.18,22.63
Dentoglobigerina_globosa_Ia,27.57,3.13
Dentoglobigerina_globularis_Ia,34.37,22.72
Dentoglobigerina_larmeui_Ia,31.24,8.08
Dentoglobigerina_prasaepis_Ia,33.76,24.69
Dentoglobigerina_pseudovenezuelana_Ia,40.18,31.67
Dentoglobigerina_sellii_Ia,32.96,16.28
Dentoglobigerina_tapuriensis_Ia,34.3,23.08
Dentoglobigerina_tripartita_Ia,33.01,11.67
Dentoglobigerina_venezuelana_Ia,33.38,2.2
Dipsidripella_danvillensis_Ia,43.21,31.78
Eoglobigerina_edita_Ia,65.78,62.44
Eoglobigerina_eobulloides_Ia,65.83,64.56
Eoglobigerina_spiralis_Ia,62.48,62.24
Fohsella_fohsi_Ia,13.4,11.93
Fohsella_lenguaensis_Ia,13.73,5.629
Fohsella_lobata_Ia,13.36,12.1
Fohsella_paralenguaensis_Ia,13.64,9.38
Fohsella_peripheroacuta_Ia,14.06,13.46
Fohsella_peripheroronda_Ia,21.31,12.214
Fohsella_praefohsi_Ia,13.77,13.14
Fohsella_robusta_Ia,13.13,12.1
Neogallitellia_vivans_Ia,3.6,0
Globanomalina_archeocompressa_Ia,65.82,63.83
Globanomalina_australiformis_Ia,57.04,43.35
Globanomalina_chapmani_Ia,60.81,54.16
Globanomalina_compressa_Ia,63.92,62.05
