taxon,max_age,min_age
Berggrenia_pumilio_Ia,2,0
Cassigerinella_chipolensis_Ia,33.92,10.96
Cassigerinella_eocaenica_Ia,38.52,13.27
Cassigerinelloita_amekiensis_Ia,49.46,44.51
Chiloguembelina_crinita_Ia,60.76,43.75
Chiloguembelina_cubensis_Ia,42.58,22.96
Chiloguembelina_midwayensis_Ia,65.72,56.81
Chiloguembelina_morsei_Ia,65.81,63.6
Chiloguembelina_ototara_Ia,43.88,32.1
Chiloguembelina_parallela_Ia,55.15,54.03
Chiloguembelina_subtriangularis_Ia,63.33,61.19
Chiloguembelina_trinitatensis_Ia,57.1,54.78
Chiloguembelina_wilcoxensis_Ia,57.79,54.03
Dentigloborotalia_anfracta_Ia,5.72,0
Dipsidripella_danvillensis_Ia,43.21,31.78
Neogallitellia_vivans_Ia,3.6,0
Globoconusa_daubjergensis_Ia,65.83,62.62
Guembelitria_cretacea_Ia,72.45,64.62
Jenkinsina_columbiana_Ia,62.62,21.12
Jenkinsina_triseriata_Ia,50.01,27.06
Parvularugoglobigerina_alabamensis_Ia,65.78,61.27
Parvularugoglobigerina_eugubina_Ia,65.8,65.71
Parvularugoglobigerina_extensa_Ia,65.73,65.71
Rectoguembelina_cretacea_Ia,69.18,62.62
Bolivina_variabilis_Ia,6.6,0
Streptochilus_globulosum_Ia,4.37,0
Streptochilus_latum_Ia,9.89,5.72
Streptochilus_martini_Ia,43.08,30.28
Streptochilus_pristinum_Ia,26.93,9.89
Woodringina_claytonensis_Ia,65.83,64.29
Woodringina_hornerstownensis_Ia,65.82,60.76
Zeauvigerina_aegyptiaca_Ia,59.32,55.15
Zeauvigerina_parri_Ia,49.1,42.58
Zeauvigerina_waiparaensis_Ia,69.18,55.93
