taxon,max_age,min_age
Candeina_nitida_Ia,9.41,0
Candeina_praenitida_Ia,8.71,6
Globigerinatella_insueta_Ia,17.59,14.58
Globigerinita_glutinata_Ia,31.89,0
Globigerinita_minuta_Ia,0.257006954102921,0
Tenuitellita_fleisheri_Ia,11.93,0
Globigerinita_uvula_Ia,26.93,0
Mutabella_mirabilis_Ia,18.77,13.86
Tenuitella_angustiumbilicata_Ia,33.38,19.59
Tenuitella_clemenciae_Ia,21.03,1.5
Tenuitella_gemma_Ia,34.93,23.55
Tenuitella_insolita_Ia,35.68,34.84
Tenuitellita_iota_Ia,1.7,0
Tenuitella_minutissima_Ia,21.03,13.73
Tenuitella_munda_Ia,34.77,16.34
Tenuitellita_parkerae_Ia,3.71,0
Tenuitella_patefacta_Ia,35.57,34.11
Tenuitella_praegemma_Ia,35.09,33.28
Globigerinita_minuta_IIa,0,0
Globigerinita_glutinata_IIIa,0,0
Candeina_nitida_IIa,0,0
Globigerinita_glutinata_IIa,0,0
Globigerinita_glutinata_IIIb,0,0
