taxon,max_age,min_age
Acarinina_africana_Ia,55.78,55.71
Acarinina_alticonica_Ia,53.53,46.49
Acarinina_angulosa_Ia,56.52,45.98
Acarinina_aspensis_Ia,50.01,47.93
Acarinina_boudreauxi_Ia,49.23,43.27
Acarinina_bullbrooki_Ia,48.18,40.35
Acarinina_coalingensis_Ia,57.79,49.62
Acarinina_collactea_Ia,50.01,23.45
Acarinina_cuneicamerata_Ia,50.01,43.53
Acarinina_echinata_Ia,42.98,28.69
Acarinina_esnaensis_Ia,57.56,50.9
Acarinina_esnehensis_Ia,56.81,50.01
Acarinina_interposita_Ia,54.54,50.01
Acarinina_mcgowrani_Ia,48.51,37.92
Acarinina_mckannai_Ia,60.59,57.56
Acarinina_medizzai_Ia,42.08,28.36
Acarinina_nitida_Ia,60.86,57.45
Acarinina_pentacamerata_Ia,52.39,46.49
Acarinina_praetopilensis_Ia,47.93,39.92
Acarinina_primitiva_Ia,50.36,38.72
Acarinina_pseudosubsphaerica_Ia,50.01,41.88
Acarinina_pseudotopilensis_Ia,55.93,46.7
Acarinina_punctocarinata_Ia,46.49,40.35
Acarinina_quetra_Ia,54.54,50.01
Acarinina_rohri_Ia,42.38,38.12
Acarinina_sibaiyaensis_Ia,55.93,55.71
Acarinina_soldadoensis_Ia,57.67,45.98
Acarinina_strabocella_Ia,62.15,60.65
Acarinina_subsphaerica_Ia,60.76,54.78
Acarinina_topilensis_Ia,42.78,40.18
Acarinina_wilcoxensis_Ia,56.52,50.5
Alicantina_lozanoi_Ia,52.43,42.34
Alicantina_prolata_Ia,54.54,43.88
Astrorotalia_palmerae_Ia,48.9,46.95
Dentoglobigerina_altispira_Ia,22,3.13
Dentoglobigerina_baroemoenensis_Ia,30.6,2.947
Dentoglobigerina_binaiensis_Ia,25.21,15.99
Dentoglobigerina_galavisi_Ia,40.18,22.63
Dentoglobigerina_globosa_Ia,27.57,3.13
Dentoglobigerina_globularis_Ia,34.37,22.72
Dentoglobigerina_larmeui_Ia,31.24,8.08
Dentoglobigerina_prasaepis_Ia,33.76,24.69
Dentoglobigerina_pseudovenezuelana_Ia,40.18,31.67
Dentoglobigerina_sellii_Ia,32.96,16.28
Dentoglobigerina_tapuriensis_Ia,34.3,23.08
Dentoglobigerina_tripartita_Ia,33.01,11.67
Dentoglobigerina_venezuelana_Ia,33.38,2.2
Fohsella_fohsi_Ia,13.4,11.93
Fohsella_lenguaensis_Ia,13.73,5.629
Fohsella_lobata_Ia,13.36,12.1
Fohsella_paralenguaensis_Ia,13.64,9.38
Fohsella_peripheroacuta_Ia,14.06,13.46
Fohsella_peripheroronda_Ia,21.31,12.214
Fohsella_praefohsi_Ia,13.77,13.14
Fohsella_robusta_Ia,13.13,12.1
Globorotalia_conomiozea_Ia,6.14,3.281
Globorotalia_inflata_Ia,3.364,0
Globorotalia_miotumida_Ia,16.39,3.058
Globorotalia_miozea_Ia,18.13,11.114
Globorotalia_pliozea_Ia,5.42,3.91
Globorotalia_pseudospinosa_Ia,4.57,4.1
Globorotalia_puncticulata_Ia,5.48,0.639
Globorotalia_terminalis_Ia,5.69,5.05
Globorotalia_triangula_Ia,3.139,0.639
Globoquadrina_conglomerata_Ia,6.565,0
Globoquadrina_dehiscens_Ia,24.22,5.91
Globorotalia_bella_Ia,18.39,13.86
Globorotalia_flexuosa_Ia,5.8,0.2
Globorotalia_merotumida_Ia,11.06,4.821
Globorotalia_plesiotumida_Ia,8.972,3.473
Globorotalia_tumida_Ia,5.72,0
Globorotalia_ungulata_Ia,4.94,0
Globorotalia_zealandica_Ia,17.24,16.39
Globorotaloides_eovariabilis_Ia,48.57,20.77
Globorotaloides_hexagonus_Ia,28.42,0
Globorotaloides_quadrocameratus_Ia,55.64,22.45
Globorotaloides_stainforthi_Ia,28.25,17.05
Globorotaloides_suteri_Ia,40.78,15.7
Globorotaloides_testarugosus_Ia,28.42,22.1
Globorotaloides_variabilis_Ia,30.16,3.216
Hantkenina_alabamensis_Ia,39.72,33.92
Hantkenina_australis_Ia,41.88,38.02
Hantkenina_compressa_Ia,40.95,33.92
Hantkenina_dumblei_Ia,43.44,38.92
Hantkenina_liebusi_Ia,43.71,39.62
Hantkenina_mexicana_Ia,43.89,43.35
Hantkenina_primitiva_Ia,39.92,33.92
Globorotalia_scitula_Ia,15,0
Globorotalia_challengeri_Ia,15.17,10.07
Globorotalia_cibaoensis_Ia,9.43,3.732
Globorotalia_evoluta_Ia,4.84,3.91
Globorotalia_gigantea_Ia,14.99,8.87
Globorotalia_hirsuta_Ia,3,0
Globorotalia_juanai_Ia,10.95,3.535
Globorotalia_margaritae_Ia,6.707,2.95
Globorotalia_praemargaritae_Ia,8.27,5.8
Globorotalia_praescitula_Ia,18.3,12.1
Globorotalia_primitiva_Ia,6.03,4.84
