taxon,max_age,min_age
Beella_digitata_Ia,5.05,0
Beella_praedigitata_Ia,12.53,0.31
Catapsydrax_africanus_Ia,38.92,34.69
Catapsydrax_dissimilis_Ia,38.92,17.54
Catapsydrax_globiformis_Ia,40.26,34.69
Catapsydrax_howei_Ia,43.84,33.92
Catapsydrax_unicavus_Ia,55.5,6.415
Ciperoella_anguliofficinalis_Ia,35.17,15.51
Ciperoella_angulisuturalis_Ia,29.18,20.94
Ciperoella_ciperoensis_Ia,29.91,22.92
Ciperoella_fariasi_Ia,29.55,21.66
Clavatorella_bermudezi_Ia,16.39,12.27
Clavigerinella_akersi_Ia,46.67,42.28
Clavigerinella_colombiana_Ia,46.83,42.88
Clavigerinella_eocanica_Ia,47.42,34.3
Clavigerinella_jarvisi_Ia,46.7,42.88
Cribrohantkenina_inflata_Ia,36.44,33.92
Eoglobigerina_edita_Ia,65.78,62.44
Eoglobigerina_eobulloides_Ia,65.83,64.56
Eoglobigerina_spiralis_Ia,62.48,62.24
Globanomalina_archeocompressa_Ia,65.82,63.83
Globanomalina_australiformis_Ia,57.04,43.35
Globanomalina_chapmani_Ia,60.81,54.16
Globanomalina_compressa_Ia,63.92,62.05
Globanomalina_ehrenbergi_Ia,62.41,60.74
Globanomalina_imitata_Ia,63.18,56.81
Globanomalina_luxorensis_Ia,56.52,55.09
Globanomalina_ovalis_Ia,57.79,55.71
Globanomalina_planocompressa_Ia,65.78,63.14
Globanomalina_planoconica_Ia,57.56,50.19
Globanomalina_pseudomenardii_Ia,60.76,57.1
Globigerina_bulloides_Ia,27.7,0
Globigerina_eamesi_Ia,25.64,2
Globigerina_falconensis_Ia,18.21,0
Globigerina_officinalis_Ia,43.08,20.35
Globigerina_umbilicata_Ia,4.664,0.6
Globigerinatheka_barri_Ia,43.53,36.35
Globigerinatheka_curryi_Ia,43.49,41.29
Globigerinatheka_euganea_Ia,42.38,40.09
Globigerinatheka_index_Ia,43.35,34.69
Globigerinatheka_korotkovi_Ia,43.79,35.65
Globigerinatheka_kugleri_Ia,43.88,39.72
Globigerinatheka_luterbacheri_Ia,40.18,34.69
Globigerinatheka_mexicana_Ia,43.88,36.07
Globigerinatheka_semiinvoluta_Ia,38.42,35.89
Globigerinatheka_subconglobata_Ia,45.51,39.52
Globigerinatheka_tropicalis_Ia,39.02,34.05
Globigerinella_adamsi_Ia,0.7,0
Globigerinella_calida_Ia,4.41,0
Globigerinella_clavaticamerata_Ia,27.96,14.88
Globigerinella_navazuelensis_Ia,28.42,19.46
Globigerinella_obesa_Ia,33.28,0.018
Globigerinella_praesiphonifera_Ia,29.02,11.91
Globigerinella_siphonifera_Ia,12.62,0
Globigerinoides_altiaperturus_Ia,21.41,16.39
Globigerinoides_bollii_Ia,21.9,3.14
Globigerinoides_conglobatus_Ia,7.203,0
Globigerinoides_diminutus_Ia,17.24,14.75
Globigerinoides_elongatus_Ia,4,0
Globigerinoides_extremus_Ia,8.93,1.583
Globigerinoides_italicus_Ia,22.5,4.01
Globigerinoides_mitra_Ia,17.87,12.27
Globigerinoides_obliquus_Ia,21.41,0.293
Globigerinoides_ruber-albus_Ia,15.12,0
Globigerinoides_seigliei_Ia,9.69,5.37
Globigerinoides_subquadratus_Ia,22.54,6.48
Globigerinoidesella_fistulosa_Ia,3.33,1.88
Globoturborotalita_apertura_Ia,10.95,1.3
Globoturborotalita_bassriverensis_Ia,55.93,32.1
Globoturborotalita_brazieri_Ia,29.79,17.33
Globoturborotalita_cancellata_Ia,34.69,27.96
Globoturborotalita_connecta_Ia,24.38,16.39
Globoturborotalita_decoraperta_Ia,15,2
Globoturborotalita_druryi_Ia,20.86,0.6
Globoturborotalita_euapertura_Ia,28.58,21.46
Globoturborotalita_gnaucki_Ia,35.57,28.31
Globoturborotalita_kennetti_Ia,9.08,5.37
Globoturborotalita_labiacrassata_Ia,32.1,21.51
Globoturborotalita_martini_Ia,43.88,26.93
Globoturborotalita_nepenthes_Ia,11.967,4.025
Globoturborotalita_occlusa_Ia,33.06,12.62
Globoturborotalita_ouachitaensis_Ia,42.68,21.11
Globoturborotalita_rubescens_Ia,3.61,0
Globigerinoides_tenellus_Ia,2.4,0
Globoturborotalita_woodi_Ia,29.18,0.708
Guembelitrioides_nuttalli_Ia,45.98,41.88
Hastigerina_pelagica_Ia,8.58,0
Hastigerinella_digitata_Ia,2.59,0
Orbulina_suturalis_Ia,15.12,0.005
Orbulina_universa_Ia,15.06,0
Orbulinoides_beckmanni_Ia,40.35,39.92
Orcadia_riedeli_Ia,1.93,0
Paragloborotalia_acrostoma_Ia,23.34,15.17
Paragloborotalia_birnageae_Ia,28.36,7.11
Paragloborotalia_continuosa_Ia,23.76,8.08
Paragloborotalia_griffinoides_Ia,55.86,33.92
Paragloborotalia_incognita_Ia,22.8,18.04
Paragloborotalia_kugleri_Ia,22.96,21.12
Paragloborotalia_mayeri_Ia,23.34,10.54
Paragloborotalia_nana_Ia,47.33,20.94
Paragloborotalia_opima_Ia,30.6,26.93
Paragloborotalia_pseudocontinuosa_Ia,31.19,15.89
Paragloborotalia_pseudokugleri_Ia,25.21,21.35
Paragloborotalia_semivera_Ia,28.96,16.28
Paragloborotalia_siakensis_Ia,31.03,10.54
Parasubbotina_eoclava_Ia,48.51,43.53
Parasubbotina_griffinae_Ia,47.67,37.27
Parasubbotina_hagni_Ia,48.57,33.01
Parasubbotina_inaequispira_Ia,55.93,44.93
Parasubbotina_pseudobulloides_Ia,65.78,61.07
Parasubbotina_varianta_Ia,63.14,33.01
Parasubbotina_variospira_Ia,62.34,60.65
Planoglobanomalina_pseudoalgeriana_Ia,50.36,44.72
Praeorbulina_circularis_Ia,15.7,14.88
Praeorbulina_curva_Ia,16.28,15
Praeorbulina_glomerosa_Ia,15.8,15
Protentella_nicobarensis_Ia,29.17,4.01
Pseudoglobigerinella_bolivariana_Ia,47.42,42.68
Pseudohastigerina_micra_Ia,49.1,32.96
Pseudohastigerina_naguewichiensis_Ia,36.35,32.1
Pseudohastigerina_sharkriverensis_Ia,47.33,39.22
Pseudohastigerina_wilcoxensis_Ia,55.71,42.88
Sphaeroidinella_dehiscens_Ia,5.69,0
Sphaeroidinellopsis_disjuncta_Ia,17.95,8.267
Sphaeroidinellopsis_kochi_Ia,14.27,3.058
Sphaeroidinellopsis_paenedehiscens_Ia,7.21,1.816
Sphaeroidinellopsis_seminulina_Ia,16.39,2.913
Subbotina_angiporoides_Ia,41.88,29.91
Subbotina_cancellata_Ia,62.71,58.1
Subbotina_corpulenta_Ia,48.57,29.07
Subbotina_crociapertura_Ia,45.98,39.92
Subbotina_eocaena_Ia,50.36,25.43
Subbotina_gortanii_Ia,38.92,24.48
Subbotina_hornibrooki_Ia,56.22,52.64
Subbotina_jacksonensis_Ia,43.35,33.92
Subbotina_linaperta_Ia,51.98,31.89
Subbotina_minima_Ia,43.53,29.91
Subbotina_patagonica_Ia,58.3,44.67
Subbotina_roesnaesensis_Ia,56.22,42.78
Subbotina_senni_Ia,50.19,37.92
Subbotina_triangularis_Ia,62.41,56.08
Subbotina_triloculinoides_Ia,65.2,60.65
Subbotina_trivialis_Ia,65.79,62.34
Subbotina_utilisindex_Ia,38.92,29.91
Subbotina_velascoensis_Ia,60.54,55.09
Subbotina_yeguaensis_Ia,50.01,33.92
Trilobatus_bisphericus_Ia,18.04,15.6
Trilobatus_sacculifer_Ia,22.98,0
Trilobatus_praeimmaturus_Ia,21.71,15.99
