taxon,max_age,min_age
Globorotalia_inflata_Ia,3.364,0
Globoquadrina_conglomerata_Ia,6.565,0
Globorotalia_tumida_Ia,5.72,0
Globorotalia_ungulata_Ia,4.94,0
Globorotaloides_hexagonus_Ia,28.42,0
Globorotalia_scitula_Ia,15,0
Globorotalia_hirsuta_Ia,3,0
Globorotalia_eastropacia_Ia,6.206,0
Globorotalia_menardii_Ia,12.45,0
Neogloboquadrina_dutertrei_Ia,11.967,0
Neogloboquadrina_incompta_Ia,11.807,0
Neogloboquadrina_pachyderma_Ia,10.924,0
Pulleniatina_obliquiloculata_Ia,5.69,0
Globorotalia_cavernula_Ia,0.9,0
Globorotalia_crassaformis_Ia,5.8,0
Globorotalia_truncatulinoides_Ia,2.372,0
Globorotalia_cultrata_Ia,0,0
Pulleniatina_obliquiloculata_IIa,0,0
Neogloboquadrina_pachyderma_IIb,0,0
Neogloboquadrina_pachyderma_IVa,0,0
Globorotalia_truncatulinoides_IIb,0,0
Globorotalia_inflata_Ib,0,0
Globorotalia_truncatulinoides_IIa,0,0
Neogloboquadrina_incompta_IIa,0,0
Neogloboquadrina_pachyderma_IIIa,0,0
Globorotalia_truncatulinoides_Ib,0,0
Neogloboquadrina_pachyderma_Va,0,0
Neogloboquadrina_pachyderma_IIa,0,0
Globorotalia_truncatulinoides_Ic,0,0
Neogloboquadrina_pachyderma_IIc,0,0
