taxon,max_age,min_age
Beella_digitata_Ia,5.05,0
Globigerina_bulloides_Ia,27.7,0
Globigerina_falconensis_Ia,18.21,0
Globigerinella_adamsi_Ia,0.7,0
Globigerinella_calida_Ia,4.41,0
Globigerinella_siphonifera_Ia,12.62,0
Globigerinoides_conglobatus_Ia,7.203,0
Globigerinoides_elongatus_Ia,4,0
Globigerinoides_ruber-albus_Ia,15.12,0
Globoturborotalita_rubescens_Ia,3.61,0
Globigerinoides_tenellus_Ia,2.4,0
Hastigerina_pelagica_Ia,8.58,0
Hastigerinella_digitata_Ia,2.59,0
Orbulina_universa_Ia,15.06,0
Orcadia_riedeli_Ia,1.93,0
Sphaeroidinella_dehiscens_Ia,5.69,0
Trilobatus_sacculifer_Ia,22.98,0
Turborotalita_clarkei_Ia,3.87,0
Turborotalita_humilis_Ia,6.14,0
Turborotalita_quinqueloba_Ia,37,0
Globigerinoides_ruber-ruber_Ia,0,0
Globigerinella_radians_Ia,0,0
Globigerina_bulloides_IId,0,0
Globigerina_bulloides_IIa,0,0
Hastigerina_pelagica_IIa,0,0
Hastigerina_pelagica_IIb,0,0
Globigerinella_siphonifera_IIc,0,0
Globigerina_bulloides_IIe,0,0
Globigerinella_siphonifera_IIa,0,0
Turborotalita_quinqueloba_Ib,0,0
Globigerinella_siphonifera_IIb,0,0
Globigerina_bulloides_IIc,0,0
Globigerina_bulloides_IIf,0,0
Turborotalita_quinqueloba_IId,0,0
Turborotalita_quinqueloba_IIb,0,0
Turborotalita_quinqueloba_IIc,0,0
Globigerinoides_ruber-albus_IIb,0,0
Orbulina_universa_IIIa,0,0
Globigerina_bulloides_IIb,0,0
Globigerinoides_ruber-albus_IIa,0,0
Turborotalita_quinqueloba_IIa,0,0
Globigerinoides_conglobatus_IIa,0,0
Globigerinella_siphonifera_IId,0,0
Globigerinoides_conglobatus_IIb,0,0
Globigerina_bulloides_Id,0,0
Globigerina_bulloides_Ic,0,0
Globigerina_bulloides_Ib,0,0
