"","species","max_occ_count_1My","mean_occ_count_1My","sampling_rate","pal.lat","pal.long","pal.absLat.var","pal.long.var","rel.abun","age","sample.depth","latitude","longitude","MacroMicro","reason","age.calc","sample.type","morphogroup","ecogroup","morphogroup_simplified","ecogroup_simplified","db.source"
"Acarinina alticonica","Acarinina alticonica",19,11,10.7954545454545,-55,-13.44,219.008482578947,0.702482730099185,8.41938145952135,49.7941860429063,205.167272488794,-33.120545,-30.2781,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
"Acarinina angulosa","Acarinina angulosa",53,25,26.3757115749525,20.43,-169.54,167.102854812612,0.943626606984443,7.4089324136478,51.4456318193989,185.844273501797,32.00216,157.849992195122,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina aspensis","Acarinina aspensis",17,10,14.4230769230769,22.26,-170.049999998477,38.0409826436782,0.450498671514769,6.57823338121902,49.0959767281773,197.683928571429,32.224,158.259,"Macroperforate","Biostratigraphy","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina boudreauxi","Acarinina boudreauxi",3,2,1.67785234899329,-10.35,57.93,289.427201111111,0.115183544809862,8.25001107436982,45.7464145463118,243.951172413793,6.51616666666667,70.9836666666667,"Macroperforate","Biostratigraphy","Model","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
"Acarinina bullbrooki","Acarinina bullbrooki",142,93,107.024265644955,36.54,-22.44,178.686472449908,0.402768415761528,16.3825618577486,44.181188631433,299.582375588986,32.002,-35.285,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina coalingensis","Acarinina coalingensis",97,44,48.8372093023256,19.69,-161.99,203.713791129835,0.957794859812178,9.91209565921882,53.715952466079,201.927582439815,32.00216,86.7916666666667,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina collactea","Acarinina collactea",50,24,21.7996987951807,-51.28,-13.57,256.119535118418,0.358039595628142,11.1957848492873,42.3871016219341,231.477641204514,-50.9464333333333,-26.3686166666666,"Macroperforate","Unspecified","Model","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
"Acarinina cuneicamerata","Acarinina cuneicamerata",25,14,15.4320987654321,23.78,-170.1,223.721451515152,0.801399204350422,8.99592523268556,47.2564011332483,203.92744019114,32.224,158.25936,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina echinata","Acarinina echinata",14,5,4.89853044086774,-60.115,74.31,164.231997598344,0.342725418636567,8.49194164622368,35.3874348756128,200.441500655736,-61.579,80.595,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina esnaensis","Acarinina esnaensis",47,23,27.6276276276276,20.35,-167.93,311.500848607152,0.76256275905845,7.07875506938159,54.1386463596946,197.548374655574,32.00216,158.25918,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina esnehensis","Acarinina esnehensis",31,15,15,21.29,-169.8,98.3347891283246,0.419112013694571,5.61524741586712,52.038823513608,180.61991897729,32.22353,158.259,"Macroperforate","Biostratigraphy","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina interposita","Acarinina interposita",5,2,2.64900662251656,-53.08,-12.78,146.444620454545,0.14821778776172,6.22285659977234,51.6642262702117,252.232408761953,-51.533,-28.7144523443168,"Macroperforate","Community analysis","Zone","Drilling/drill rig (DRILL)","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina mcgowrani","Acarinina mcgowrani",1,1,0.28328611898017,-53.775,175.16,96.6819,0.548351205295589,16.863711001642,43.4071713186544,315.42,-34.6521866666667,165.827665,"Macroperforate","Biostratigraphy","Model","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
"Acarinina mckannai","Acarinina mckannai",37,21,28.052805280528,33.09,-19.94,275.405768123249,0.692620405681861,12.5272178258165,58.6980918844225,343.8290625,29.5902,1.711,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina medizzai","Acarinina medizzai",18,12,6.34110787172012,-50.61,-15.19,173.593895054798,0.143894479486031,7.96620438194997,39.351303409679,198.119698808989,-50.9464333333333,-26.3686166666667,"Macroperforate","Unspecified","Model","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
"Acarinina nitida","Acarinina nitida",44,20,23.16715542522,-63.17,78.96,343.214163291139,0.617398991679119,15.8752088655751,58.6552082299629,274.418189964889,-51.533,82.7878,"Macroperforate","Community analysis","Orig","Drilling/drill rig (DRILL)","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina pentacamerata","Acarinina pentacamerata",40,23,27.7966101694915,22.73,-13.43,304.621215980847,0.705822849445116,9.02201356690138,49.2991171441778,288.407076801903,32.0021633333334,70.1,"Macroperforate","Biostratigraphy","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina praetopilensis","Acarinina praetopilensis",26,16,16.2297128589263,36.9,-39.1,43.8271370602266,0.021022411728607,12.2157606795223,44.0608372600541,143.223996137946,41.42499,-49.785805,"Macroperforate","Unspecified","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Neptune"
"Acarinina primitiva","Acarinina primitiva",95,54,60.3951890034364,-51.28,-14.12,130.08796163532,0.473331767832205,16.93492467851,44.7451423541564,231.218558643605,-50.9464333333333,-26.3686166666667,"Macroperforate","Biostratigraphy","Model","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
"Acarinina pseudosubsphaerica","Acarinina pseudosubsphaerica",28,10,10.2091020910209,23.42,-170.6,202.992993300029,0.607641693431739,4.37517818373907,47.0742667516209,171.320427792278,32.002,158.50593,"Macroperforate","Biostratigraphy","Orig","Drilling/drill rig (DRILL)","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina pseudotopilensis","Acarinina pseudotopilensis",60,38,41.3867822318527,23.17,-13.7366666661966,238.635104814418,0.704657064508923,8.18427019942094,50.9346422032658,230.168141288118,32.002,2.40849032636803,"Macroperforate","Biostratigraphy","Orig","ODP","17",1,"NS_muricate","Symbiotic_SML","Pangaea"
"Acarinina punctocarinata","Acarinina punctocarinata",4,3,2.44299674267101,-8.69,59.12,1.52635523809524,0.000279045357284624,8.58464208382482,42.5124124212352,237.687333333333,6.51616666666667,70.9836666666667,"Macroperforate","Biostratigraphy","Model","ODP","17",1,"NS_muricate","Symbiotic_SML","IODP"
