"","Morphology"
"Beella","Spinose"
"Catapsydrax","Spinose"
"Ciperoella","Spinose"
"Clavatorella","Spinose"
"Clavigerinella","Spinose"
"Cribrohantkenina","Spinose"
"Eoglobigerina","Spinose"
"Globanomalina","Spinose"
"Globigerina","Spinose"
"Globigerinatheka","Spinose"
"Globigerinella","Spinose"
"Globigerinoides","Spinose"
"Globigerinoidesella","Spinose"
"Globoturborotalita","Spinose"
"Guembelitrioides","Spinose"
"Hastigerina","Spinose"
"Hastigerinella","Spinose"
"Orbulina","Spinose"
"Orbulinoides","Spinose"
"Orcadia","Spinose"
"Paragloborotalia","Spinose"
"Parasubbotina","Spinose"
"Planoglobanomalina","Spinose"
"Praeorbulina","Spinose"
"Protentella","Spinose"
"Protentelloides","Spinose"
"Pseudoglobigerinella","Spinose"
"Pseudohastigerina","Spinose"
"Sphaeroidinella","Spinose"
"Sphaeroidinellopsis","Spinose"
"Subbotina","Spinose"
"Trilobatus","Spinose"
"Turborotalita","Spinose"
"Acarinina","Non-spinose"
"Alicantina","Non-spinose"
"Astrorotalia","Non-spinose"
"Dentoglobigerina","Non-spinose"
"Fohsella","Non-spinose"
"Globoquadrina","Non-spinose"
"Globorotalia","Non-spinose"
"Globorotaloides","Non-spinose"
"Hantkenina","Non-spinose"
"Igorina","Non-spinose"
"Morozovella","Non-spinose"
"Morozovelloides","Non-spinose"
"Muricohedbergella","Non-spinose"
"Neogloboquadrina","Non-spinose"
"Pearsonites","Non-spinose"
"Planorotalites","Non-spinose"
"Praemurica","Non-spinose"
"Pulleniatina","Non-spinose"
"Turborotalia","Non-spinose"
"Candeina","Microperforate"
"Globigerinatella","Microperforate"
"Globigerinita","Microperforate"
"Mutabella","Microperforate"
"Tenuitella","Microperforate"
"Tenuitellita","Microperforate"
"Berggrenia","Independent"
"Bolivina","Independent"
"Dentigloborotalia","Independent"
"Cassigerinella","Independent"
"Cassigerinelloita","Independent"
"Chiloguembelina","Independent"
"Dipsidripella","Independent"
"Globoconusa","Independent"
"Guembelitria","Independent"
"Jenkinsina","Independent"
"Neogallitellia","Independent"
"Parvularugoglobigerina","Independent"
"Rectoguembelina","Independent"
"Streptochilus","Independent"
"Woodringina","Independent"
"Zeauvigerina","Independent"
