Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	1444.941	-701.1368	2146.078	4.193137	0.001	0.001	0.38364	0.170115	0.0658141	0.451957	0.126476	0.112116	0.0735211	0.11636	1	40.29547	0.3563033	0.464667	0.781634	1.08432	1.66937	0.330912	0.0659413	0.247334	0.355812	0.5	0.23272
1	1502.422	-663.5641	2165.986	4.187085	0.000995036	0.000995036	0.3486331	0.209968	0.0812325	0.352068	0.156106	0.138382	0.0622429	0.1167029	1.0325	39.98953	0.3563033	0.464353	0.78144	1.08433	1.66988	0.299689	0.0658102	0.279396	0.355104	0.465336	0.2507928
2	1631.199	-585.7748	2216.974	4.268364	0.00101529	0.00101529	0.2151114	0.211426	0.0817964	0.354512	0.15719	0.132402	0.062675	0.1300522	1.0325	40.14022	0.6673724	0.468523	0.784006	1.08427	1.6632	0.370517	0.0813636	0.263784	0.284335	0.3451636	0.3767842
3	1707.084	-553.3848	2260.469	3.901728	0.001012697	0.001012697	0.1458148	0.223586	0.10535	0.27944	0.154871	0.17436	0.0623935	0.2007601	1.304097	40.01694	0.6673724	0.448881	0.771741	1.0844	1.69497	0.363103	0.0945033	0.263748	0.278645	0.3465749	0.579269
4	1716.432	-545.5277	2261.96	2.523465	0.0006806762	0.0006806762	0.1453019	0.175194	0.148868	0.337024	0.135265	0.152287	0.0513617	0.2014442	1.306721	39.8199	0.6673724	0.34867	0.701188	1.07889	1.87125	0.314421	0.105074	0.29325	0.287255	0.3467461	0.5809558
5	1719.439	-544.8195	2264.259	2.519777	0.0006836667	0.0006836667	0.1452592	0.186482	0.168976	0.333368	0.115921	0.162098	0.033156	0.2014869	1.350021	40.01346	0.6673724	0.348324	0.700917	1.07885	1.87191	0.311926	0.104241	0.310686	0.273148	0.3467461	0.5810791
6	1722.017	-543.5565	2265.574	2.51174	0.0006937097	0.0006937097	0.1435331	0.178976	0.160194	0.31995	0.120363	0.203241	0.017276	0.2017834	1.355279	40.95491	0.6673724	0.347567	0.700325	1.07876	1.87335	0.310403	0.104471	0.311373	0.273752	0.3453166	0.5843434
7	1739.454	-534.9621	2274.416	2.450677	0.0006931751	0.0006931751	-0.001750698	0.125714	0.255763	0.31006	0.0950687	0.196676	0.016718	0.2253448	1.355279	40.7512	0.8614985	0.34173	0.695725	1.07805	1.8845	0.307628	0.112479	0.308589	0.271305	0.2235942	1.00783
8	1747.382	-533.1851	2280.567	2.75598	0.000751259	0.000751259	0.01553519	0.0980093	0.278012	0.287767	0.103621	0.214369	0.0182219	0.2120852	1.923676	40.64592	0.8614985	0.369456	0.717055	1.08101	1.83248	0.312396	0.111704	0.306464	0.269436	0.2276204	0.9317496
9	1758.36	-521.9391	2280.299	1.845827	0.0007390232	0.0007390232	0.01688093	0.10435	0.248726	0.205225	0.199126	0.224126	0.0184472	0.2120852	1.918539	40.69499	0.8614985	0.274149	0.637549	1.06561	2.0227	0.27095	0.209212	0.265805	0.254033	0.2289661	0.9262732
10	1764.586	-519.6599	2284.246	0.8906589	0.0007231549	0.0007231549	0.08048535	0.071867	0.428157	0.144552	0.117865	0.224855	0.0127048	0.2073191	2.855839	40.29577	0.5551844	0.114655	0.441226	0.979224	2.46489	0.27095	0.209212	0.265805	0.254033	0.2878045	0.7203471
11	1759.989	-520.7417	2280.73	0.9332907	0.000886301	0.000886301	-0.05017085	0.0723345	0.366105	0.202209	0.118631	0.226317	0.0144021	0.3158865	2.449959	40.59999	0.1977473	0.123459	0.45574	0.988003	2.4328	0.246623	0.245857	0.262072	0.245447	0.2657156	1.188814
12	1761.662	-519.4577	2281.119	0.6635529	0.0008877265	0.0008877265	-0.01022847	0.0809829	0.361618	0.199731	0.117178	0.223544	0.0169466	0.3233289	2.449959	41.54435	0.1977473	0.0664267	0.345814	0.910575	2.67718	0.259127	0.186709	0.279561	0.274603	0.3131005	1.032668
13	1764.352	-517.8576	2282.21	0.6466644	0.0009706631	0.0009706631	-0.02715999	0.106007	0.22611	0.215539	0.126452	0.307604	0.0182879	0.3247559	2.501846	41.17392	0.1520789	0.0628535	0.337239	0.903379	2.69653	0.219148	0.215774	0.290521	0.274558	0.2975959	1.091265
14	1763.997	-517.7469	2281.744	0.6796806	0.0009615319	0.0009615319	-0.01375193	0.0989628	0.340045	0.133231	0.144467	0.262401	0.0208933	0.3037838	2.501846	41.36504	0.1714575	0.0698544	0.353783	0.9171	2.65926	0.22091	0.209468	0.292857	0.276766	0.2900319	1.047415
15	1773.196	-514.0805	2287.276	0.5930309	0.0009651792	0.0009651792	0.0323741	0.0995512	0.278503	0.13019	0.112502	0.356146	0.0231075	0.2701665	2.464714	40.80445	0.1714575	0.0516739	0.308376	0.877721	2.76223	0.22091	0.209468	0.292857	0.276766	0.3025406	0.8929925
16	1772.46	-513.4764	2285.936	0.5881426	0.0008432084	0.0008432084	0.07903901	0.0781016	0.218496	0.102139	0.088262	0.494873	0.0181287	0.249734	2.443231	42.29626	0.4709924	0.050672	0.305617	0.875147	2.76856	0.214784	0.203659	0.284735	0.296823	0.328773	0.759594
17	1768.958	-517.8127	2286.771	0.5834832	0.0008423987	0.0008423987	0.04431529	0.146072	0.205382	0.0935027	0.0854169	0.45303	0.0165959	0.249734	2.547644	42.13001	0.7990859	0.0497203	0.302966	0.872653	2.77466	0.223032	0.260468	0.208278	0.308222	0.2940493	0.849293
18	1765.124	-519.9967	2285.121	0.5769264	0.0008557881	0.0008557881	-0.0515709	0.14656	0.185257	0.115737	0.0857021	0.454543	0.0122013	0.342207	3.013206	42.52788	0.8619596	0.0483867	0.299201	0.869075	2.78334	0.223032	0.260468	0.208278	0.308222	0.2906361	1.177442
19	1770.554	-516.5002	2287.054	0.5742138	0.0009214282	0.0009214282	0.08098841	0.162422	0.205308	0.12942	0.0974042	0.388728	0.0167181	0.2371024	2.663508	42.52917	0.8619596	0.047837	0.297631	0.867571	2.78696	0.235078	0.203777	0.236277	0.324868	0.3180908	0.7453922
20	1772.298	-516.3192	2288.617	0.5738508	0.000741501	0.000741501	0.05615374	0.174093	0.205422	0.117355	0.0974583	0.388944	0.0167274	0.2538255	2.529559	41.999	0.6550879	0.0477635	0.297421	0.867369	2.78745	0.235755	0.204365	0.236958	0.322922	0.3099792	0.8188468
21	1771.97	-514.4972	2286.467	0.5144329	0.001164157	0.001164157	0.06222729	0.191406	0.225849	0.129025	0.10715	0.328179	0.0183908	0.254503	2.512379	42.05343	0.6550879	0.036093	0.261234	0.830493	2.87218	0.227492	0.197202	0.263704	0.311603	0.3167303	0.8035322
22	1773.332	-515.7051	2289.037	0.7382351	0.0009025277	0.0009025277	0.03279512	0.160055	0.188858	0.107892	0.0981496	0.436102	0.00894419	0.2733331	2.508607	42.05453	0.6550879	0.0823669	0.381026	0.938253	2.59835	0.227492	0.197202	0.263704	0.311603	0.3061282	0.8928713
23	1772.682	-515.5409	2288.223	0.3547684	0.0006405004	0.0006405004	0.0218859	0.201124	0.169768	0.140819	0.0882286	0.39202	0.00804011	0.2749289	2.236795	42.44637	0.6550879	0.0107659	0.147259	0.677301	3.16467	0.207187	0.247948	0.24975	0.295115	0.2968148	0.9262641
24	1772.405	-514.7152	2287.12	0.3904239	0.0006550627	0.0006550627	0.03114902	0.173153	0.209035	0.244729	0.0991045	0.266943	0.0070359	0.2767751	2.143162	43.03352	0.6550879	0.0153575	0.174567	0.720707	3.08937	0.201448	0.255017	0.242833	0.300702	0.3079241	0.8988419
25	1770.003	-516.1481	2286.151	0.3998056	0.0006510342	0.0006510342	0.02000609	0.174222	0.210326	0.11381	0.0997167	0.394845	0.00707936	0.2851602	2.057187	42.06347	0.6550879	0.0166864	0.181611	0.73107	3.07063	0.201448	0.255017	0.242833	0.300702	0.3051663	0.934442
26	1772.759	-513.5637	2286.323	0.3627475	0.0006272967	0.0006272967	0.02227913	0.155513	0.290396	0.0785901	0.0945206	0.37427	0.00671047	0.2799885	2.065376	41.39397	0.6550879	0.0117273	0.153433	0.687604	3.14724	0.202532	0.251008	0.24414	0.30232	0.3022677	0.9262934
27	1773.019	-513.5847	2286.603	0.3903253	0.0006274317	0.0006274317	0.03343097	0.22428	0.266749	0.0721905	0.0868238	0.343793	0.00616403	0.2787496	2.004049	40.77643	0.6550879	0.0153438	0.174493	0.720596	3.08957	0.201312	0.230547	0.290464	0.277677	0.3121806	0.8929114
28	1777.201	-510.6706	2287.872	0.282352	0.0009158751	0.0009158751	0.02858764	0.21575	0.256604	0.0940022	0.0486474	0.373972	0.0110238	0.2835295	1.9981	40.92621	0.6550879	0.00397318	0.090857	0.564939	3.34023	0.249548	0.211754	0.252213	0.286485	0.3121171	0.9084073
29	1770.891	-516.0158	2286.907	0.2937866	0.001498799	0.001498799	0.02991496	0.278499	0.212604	0.0939204	0.0380473	0.366136	0.0107928	0.2844369	2.073024	40.3518	0.6550879	0.00480484	0.0996709	0.585219	3.31031	0.263899	0.198229	0.269686	0.268186	0.3143519	0.9048361
30	1774.814	-511.9103	2286.724	0.3511002	0.001539865	0.001539865	0.0243796	0.199332	0.225331	0.11639	0.0403249	0.388055	0.0305675	0.2893037	2.552321	39.9119	0.6550879	0.0103374	0.14441	0.672442	3.17281	0.203499	0.244756	0.245702	0.306043	0.3136833	0.9222796
31	1777.016	-511.7538	2288.77	0.3257376	0.002133034	0.002133034	0.001019946	0.202798	0.211858	0.118415	0.0410263	0.394804	0.0310992	0.3126633	2.642307	38.91552	0.6746979	0.00761369	0.124608	0.636598	3.23118	0.197372	0.237387	0.270382	0.294859	0.3136833	0.9967485
32	1772.142	-513.3804	2285.523	0.5305875	0.002544575	0.002544575	-0.04605938	0.127104	0.338936	0.0933836	0.0285732	0.39252	0.019484	0.3503711	2.624013	38.95788	0.6746979	0.0391875	0.271416	0.841309	2.84809	0.209587	0.222003	0.279704	0.288706	0.3043117	1.151356
33	1783.26	-506.4392	2289.7	0.4443868	0.001619525	0.001619525	0.06446523	0.127723	0.216517	0.0938384	0.0287124	0.484665	0.0485444	0.3888347	2.600785	39.11339	0.6746979	0.0236038	0.214069	0.775169	2.98716	0.229832	0.216317	0.27254	0.281312	0.4532999	0.8577868
34	1778.798	-509.9634	2288.762	0.3666069	0.0009398988	0.0009398988	0.06033429	0.130011	0.167362	0.0882462	0.0270013	0.541728	0.0456514	0.3888347	2.598888	39.71618	0.7094522	0.0122063	0.156408	0.692461	3.13893	0.228528	0.236446	0.263276	0.27175	0.449169	0.8656757
35	1772.672	-514.0397	2286.711	0.3657467	0.0008975461	0.0008975461	0.06571459	0.140026	0.171968	0.0795461	0.0240053	0.53343	0.0510253	0.3750692	2.605021	40.2697	0.8176247	0.0120988	0.155746	0.691385	3.14077	0.20396	0.244577	0.270368	0.281095	0.4407838	0.8509142
36	1776.906	-509.9789	2286.885	0.4233413	0.000933447	0.000933447	0.005781278	0.0882952	0.203503	0.0693109	0.0194529	0.565359	0.0540794	0.3746264	2.383163	40.68808	0.663287	0.0202207	0.198967	0.755351	3.02546	0.225547	0.225353	0.238254	0.310846	0.3804077	0.9848024
37	1777.443	-511.0668	2288.51	0.4303436	0.001145341	0.001145341	-0.0006016465	0.086941	0.210446	0.0682479	0.0191545	0.556688	0.058523	0.3872582	2.623509	40.50183	0.5334964	0.0213242	0.204037	0.762134	3.01251	0.197514	0.20477	0.298122	0.299593	0.3866565	1.001556
38	1775.391	-511.9512	2287.342	0.4342324	0.001217238	0.001217238	0.07983997	0.0880438	0.219548	0.0477496	0.0216442	0.563749	0.0592653	0.3171584	2.559126	41.59219	0.5334964	0.0219468	0.206834	0.765817	3.0054	0.213659	0.221508	0.240751	0.324082	0.3969984	0.7988909
39	1772.798	-515.0216	2287.82	0.4317087	0.001213187	0.001213187	0.08436397	0.0948177	0.23644	0.0357107	0.0233095	0.545898	0.063825	0.3171584	2.555052	42.46129	0.5334964	0.021542	0.20502	0.763433	3.01	0.234684	0.198786	0.264442	0.302088	0.4015224	0.7898898
40	1776.5	-513.0992	2289.599	0.4126912	0.001182357	0.001182357	-0.02593896	0.0908076	0.246019	0.0306342	0.0276184	0.52281	0.0821105	0.4437741	2.325832	41.77737	0.7933871	0.0185871	0.191171	0.744657	3.04559	0.252915	0.205188	0.284985	0.256911	0.4178351	1.062079
41	1778.581	-512.4106	2290.992	0.2473066	0.001190105	0.001190105	-0.02645946	0.136292	0.300934	0.0396498	0.0232748	0.432001	0.0678484	0.4442946	2.316925	41.93195	0.7981643	0.0019886	0.0647519	0.495771	3.43749	0.19493	0.208296	0.289302	0.307472	0.4178351	1.063325
42	1781.717	-509.6938	2291.411	0.3594125	0.001131728	0.001131728	-0.02891238	0.126528	0.303574	0.0468041	0.0210525	0.433598	0.0684436	0.4464272	2.72121	42.69615	0.6815161	0.0113206	0.150856	0.683342	3.15448	0.198556	0.229568	0.258685	0.313192	0.4175148	1.069249
43	1780.274	-510.8053	2291.079	0.4295905	0.001086247	0.001086247	-0.02895943	0.140996	0.22738	0.052156	0.020021	0.483178	0.0762699	0.4478705	2.662628	42.2776	0.6815161	0.0212045	0.203494	0.761413	3.01389	0.183162	0.21177	0.316158	0.288911	0.4189111	1.06913
44	1778.142	-512.3614	2290.503	0.3573288	0.001032979	0.001032979	-0.03573384	0.148074	0.202291	0.0547742	0.0210261	0.507433	0.0664023	0.4579348	2.662628	41.73654	0.6815161	0.0110701	0.149243	0.680646	3.15904	0.186092	0.215157	0.321215	0.277536	0.422201	1.084637
45	1777.42	-509.5732	2286.993	0.3411864	0.001160831	0.001160831	-0.05142929	0.148074	0.202291	0.0547742	0.0210261	0.507433	0.0664023	0.4579348	2.662628	40.43007	0.8086846	0.00922234	0.136689	0.65891	3.19518	0.193909	0.224195	0.292703	0.289194	0.4065055	1.126516
46	1777.194	-513.5278	2290.722	0.395652	0.001868614	0.001868614	-0.07197716	0.146509	0.200153	0.0541953	0.0313725	0.50207	0.0657005	0.4784827	2.53795	40.40635	0.8404569	0.0160922	0.178501	0.726532	3.07887	0.193909	0.224195	0.292703	0.289194	0.4065055	1.177063
