Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	267.6089	-1320.184	1587.793	0.9539925	0.001	0.001	0.38364	0.16049	0.0604598	0.0338746	0.193384	0.287107	0.264685	0.11636	1	66.48395	0.9724419	0.127685	0.462472	0.991938	2.4179	0.323837	0.00832133	0.0175124	0.650329	0.5	0.23272
1	468.0636	-1135.31	1603.374	0.9444427	0.001001954	0.001001954	0.38364	0.19127	0.0926071	0.0421792	0.245478	0.34217	0.0862954	0.11636	1.182321	67.62471	0.6407226	0.12574	0.459391	0.990148	2.42472	0.667533	0.0171529	0.0360986	0.279216	0.5	0.23272
2	648.9471	-1010.825	1659.772	0.9444376	0.001002434	0.001002434	0.2170237	0.124234	0.0883234	0.0402282	0.234124	0.430787	0.0823037	0.11636	1.268567	67.80485	0.6407226	0.125739	0.45939	0.990147	2.42473	0.52722	0.0243921	0.0513336	0.397055	0.3333837	0.3490273
3	683.2349	-987.3105	1670.545	0.9444376	0.0009936735	0.0009936735	0.1973102	0.134531	0.0922424	0.0456606	0.199327	0.466495	0.0617442	0.1363041	1.722488	66.33357	0.6407226	0.125739	0.45939	0.990147	2.42473	0.533198	0.0246687	0.0519157	0.390218	0.3336143	0.4085679
4	736.4732	-931.1381	1667.611	0.9400785	0.001038229	0.001038229	0.2044069	0.0650442	0.100542	0.0308766	0.250114	0.513299	0.0401234	0.1352147	1.717367	67.22001	0.6407226	0.124848	0.457969	0.989315	2.42787	0.380881	0.032718	0.0688557	0.517545	0.3396216	0.3981334
5	792.4082	-880.4806	1672.889	0.8550186	0.001029294	0.001029294	0.1830201	0.0867757	0.105933	0.040353	0.282447	0.432053	0.0524377	0.1413853	1.650819	67.96982	0.6407226	0.107201	0.428377	0.971107	2.49332	0.360425	0.0718337	0.0779933	0.489748	0.3244054	0.4358291
6	913.9534	-773.9379	1687.891	0.5701178	0.001548612	0.001548612	0.1087162	0.0943163	0.115139	0.0438596	0.254147	0.435544	0.0569945	0.2156892	1.626681	69.06507	0.6407226	0.0470093	0.295248	0.865273	2.79247	0.428224	0.161859	0.0926646	0.317252	0.3244054	0.6648755
7	937.8411	-746.4972	1684.338	0.5684915	0.001555716	0.001555716	0.09593634	0.0925678	0.116785	0.0520736	0.249435	0.427469	0.0616697	0.2175206	1.547424	69.53132	0.6407226	0.0466815	0.294297	0.864351	2.79467	0.162725	0.275379	0.125161	0.436735	0.313457	0.693941
8	951.2197	-735.1592	1686.379	0.6002133	0.001521493	0.001521493	0.08536818	0.104367	0.116402	0.0519027	0.248617	0.426066	0.0526456	0.2280888	1.547087	69.84987	0.6407226	0.0531521	0.312391	0.881428	2.75303	0.180798	0.268432	0.125051	0.425718	0.313457	0.7276558
9	967.7223	-723.5572	1691.28	0.6938953	0.001661838	0.001661838	0.05570466	0.137616	0.102158	0.0565133	0.270702	0.358955	0.0740551	0.2381056	1.423636	68.66019	0.6407226	0.0728848	0.360636	0.922585	2.64389	0.165206	0.245283	0.209693	0.379818	0.2938103	0.810406
10	973.7274	-718.4684	1692.196	0.7598335	0.001687345	0.001687345	0.04502342	0.133238	0.130725	0.0547152	0.262089	0.347534	0.0716988	0.2412944	1.423636	68.60094	0.627585	0.0869879	0.390446	0.945172	2.57739	0.262169	0.224029	0.176239	0.337563	0.2863178	0.8427502
11	976.936	-711.7001	1688.636	0.7877621	0.001693745	0.001693745	-0.06581815	0.125261	0.133381	0.06777	0.279456	0.326727	0.0674061	0.3177557	1.474277	68.16651	0.627585	0.0929521	0.40216	0.953505	2.55138	0.233565	0.199586	0.266116	0.300733	0.2519376	1.261248
12	990.8053	-699.0741	1689.879	1.08342	0.001632504	0.001632504	0.03920211	0.0947038	0.112847	0.0606592	0.208987	0.472395	0.0504086	0.2127355	0.8995518	68.05486	0.6571485	0.153292	0.500466	1.01256	2.33369	0.223881	0.195524	0.260701	0.319893	0.2519376	0.8443975
13	987.4422	-700.8019	1688.244	1.033467	0.0011174	0.0011174	0.02197418	0.138822	0.108775	0.0575937	0.198425	0.448522	0.0478612	0.2104889	0.9349876	68.56718	0.6571485	0.143583	0.486585	1.00533	2.3645	0.206159	0.227971	0.271298	0.294572	0.2324631	0.9054724
14	998.4769	-687.1636	1685.64	0.9770952	0.00105974	0.00105974	0.02690114	0.135847	0.114568	0.0696645	0.194173	0.438911	0.0468356	0.2104889	1.097274	67.31638	0.6571485	0.132361	0.469757	0.996099	2.40178	0.216634	0.188744	0.285082	0.309539	0.23739	0.8866796
15	1002.152	-685.6537	1687.806	0.9298073	0.001061562	0.001061562	0.007795475	0.136593	0.114424	0.0707517	0.183186	0.438358	0.0566868	0.2301817	1.005689	67.21806	0.6571485	0.122744	0.454587	0.987321	2.43535	0.198856	0.193028	0.291552	0.316564	0.2379771	0.9672428
16	1003.009	-684.1983	1687.207	0.931449	0.001454065	0.001454065	0.006673481	0.147901	0.115195	0.054101	0.184421	0.441313	0.0570689	0.2301785	0.921374	67.02677	0.6571485	0.123081	0.455131	0.987643	2.43415	0.197628	0.245212	0.244502	0.312658	0.236852	0.9718243
17	996.7708	-687.73	1684.501	0.7993307	0.001526573	0.001526573	0.006673481	0.180914	0.113969	0.0535248	0.158519	0.436613	0.0564611	0.2301785	0.9078967	66.50132	0.6150124	0.0954163	0.406864	0.956769	2.54095	0.205164	0.245149	0.225109	0.324579	0.236852	0.9718243
18	1007.857	-677.0446	1684.902	0.4270506	0.001231117	0.001231117	0.01108065	0.069373	0.110426	0.114244	0.113461	0.53779	0.0547061	0.2324674	0.9095742	67.89286	0.6150124	0.0208025	0.201658	0.758968	3.01857	0.196595	0.221296	0.271087	0.311022	0.243548	0.9545032
19	1010.675	-678.5683	1689.243	0.4287683	0.001238124	0.001238124	0.03232416	0.0727338	0.106803	0.151533	0.109738	0.520146	0.0390462	0.2392454	0.8867789	68.27975	0.6150124	0.021074	0.2029	0.760625	3.0154	0.20405	0.272229	0.252672	0.271048	0.2715696	0.8809728
20	1005.128	-678.8116	1683.939	0.4287683	0.0008607398	0.0008607398	0.02491615	0.0591811	0.11158	0.146903	0.111938	0.53057	0.0398288	0.2392454	0.8013715	69.16537	0.6150124	0.021074	0.2029	0.760625	3.0154	0.222299	0.229184	0.253227	0.295289	0.2641616	0.9056784
21	1004.682	-678.3509	1683.033	0.4383198	0.00085827	0.00085827	0.01570975	0.0672998	0.117574	0.154795	0.117951	0.506782	0.0355976	0.2476533	0.7590621	68.71588	0.6150124	0.0226084	0.209758	0.769628	2.99801	0.2467	0.218196	0.241087	0.294017	0.263363	0.9403494
22	1006.952	-676.5991	1683.551	0.4399765	0.001198802	0.001198802	0.02334025	0.0610658	0.17442	0.146159	0.111371	0.478509	0.0284743	0.2388658	1.174733	69.10334	0.6150124	0.0228786	0.210939	0.771154	2.99503	0.247093	0.216951	0.241471	0.294486	0.262206	0.9109851
23	1009.03	-675.9364	1684.967	0.3927607	0.00126003	0.00126003	0.04001077	0.0610658	0.17442	0.146159	0.111371	0.478509	0.0284743	0.2323463	1.153233	68.4826	0.6150124	0.015684	0.176328	0.723326	3.08466	0.230649	0.202513	0.291951	0.274888	0.2723571	0.8530944
24	1010.334	-674.8891	1685.223	0.3737174	0.001357722	0.001357722	0.03912713	0.0595981	0.199645	0.142646	0.108694	0.467008	0.0224087	0.2332299	1.14981	68.40967	0.6150124	0.0131125	0.161867	0.701198	3.12382	0.222667	0.207906	0.281847	0.28758	0.2723571	0.8563388
25	1013.003	-675.1094	1688.112	0.377422	0.001359634	0.001359634	0.03674357	0.0592685	0.198541	0.130071	0.0623541	0.512144	0.0376206	0.2399927	1.104588	68.40414	0.6150124	0.0135965	0.164699	0.705645	3.11606	0.166885	0.222872	0.302136	0.308107	0.2767362	0.8672253
26	1012.813	-672.6723	1685.485	0.3584817	0.001359634	0.001359634	0.04000738	0.0615528	0.201134	0.13177	0.0486	0.518832	0.0381118	0.2367289	1.146068	68.45675	0.5444732	0.0112084	0.150136	0.682141	3.15652	0.187572	0.2505	0.243212	0.318716	0.2767362	0.8554314
27	1016.765	-667.0784	1683.844	0.3584817	0.001303614	0.001303614	0.0429167	0.0588501	0.192302	0.125984	0.046466	0.49605	0.0803479	0.2333774	1.146068	67.06031	0.5444732	0.0112084	0.150136	0.682141	3.15652	0.18345	0.266973	0.237867	0.311711	0.2762941	0.8446702
28	1011.625	-672.8718	1684.497	0.8091719	0.001757687	0.001757687	0.02565462	0.0570921	0.190571	0.12222	0.045078	0.481232	0.103807	0.2543118	1.089316	66.72549	0.5444732	0.0975089	0.410801	0.959464	2.53223	0.195917	0.195801	0.275388	0.332894	0.2799664	0.9083654
29	1011.861	-671.5798	1683.441	0.7724977	0.001753403	0.001753403	0.08606285	0.056948	0.142618	0.117466	0.0488589	0.521595	0.112514	0.2462375	1.089316	66.78464	0.5444732	0.0896946	0.395821	0.949033	2.56545	0.219437	0.237188	0.272975	0.2704	0.3323003	0.7410088
30	1019.746	-666.4514	1686.198	0.5832976	0.001161573	0.001161573	0.0009174425	0.0665512	0.152945	0.125972	0.0655962	0.468276	0.12066	0.2793994	1.094752	65.91586	0.5596527	0.0496824	0.30286	0.872553	2.77491	0.227988	0.238689	0.274702	0.258621	0.2803168	0.9967271
