Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-1677.836	-3111.773	1433.937	1.082654	0.001	0.001	0.38364	0.0819263	0.220352	0.134142	0.2244	0.00933598	0.329844	0.11636	1	67.57898	0.587778	0.153144	0.500259	1.01245	2.33415	0.0198234	0.113286	0.636153	0.230738	0.5	0.23272
1	-1142.979	-2568.014	1425.035	0.7234056	0.00151084	0.00151084	0.38364	0.0692439	0.369137	0.113376	0.160512	0.00894663	0.278784	0.11636	1.002665	68.18961	0.587778	0.0791931	0.374367	0.933242	2.6132	0.0437136	0.309439	0.413704	0.233143	0.5	0.23272
2	-818.2928	-2241.553	1423.26	0.7210835	0.001515221	0.001515221	0.3827929	0.0751791	0.393027	0.123094	0.0933549	0.012665	0.302679	0.117348	1.066408	68.97448	0.587778	0.0786962	0.37331	0.932438	2.61556	0.0516063	0.461689	0.211466	0.275238	0.5001409	0.2346299
3	-558.5796	-2048.596	1490.016	0.4489444	0.001925777	0.001925777	0.2183917	0.105356	0.368622	0.128392	0.0962637	0.0132101	0.288157	0.1191015	1.076754	69.30117	0.587778	0.0243618	0.217285	0.779245	2.97911	0.106594	0.434921	0.199206	0.25928	0.3374932	0.3529005
4	-445.4114	-1934.97	1489.558	0.3980496	0.001934616	0.001934616	0.2131319	0.123279	0.356192	0.124062	0.0930178	0.0250086	0.278441	0.1243613	1.047331	68.67641	0.587778	0.016434	0.180298	0.729161	3.07411	0.110272	0.449929	0.171572	0.268227	0.3374932	0.3684853
5	-296.8818	-1810.416	1513.534	0.4000055	0.002281965	0.002281965	0.1091161	0.123279	0.356192	0.124062	0.0930178	0.0250086	0.278441	0.1863642	1.09442	68.83952	0.587778	0.0167152	0.18176	0.731287	3.07024	0.187155	0.392138	0.165585	0.255122	0.2954803	0.6307161
6	-165.6321	-1693.311	1527.679	0.3982161	0.002290621	0.002290621	0.04346784	0.124837	0.389921	0.105178	0.0727798	0.0253246	0.28196	0.1872539	0.6650378	68.70617	0.8953918	0.0164579	0.180422	0.729343	3.07378	0.182319	0.408669	0.114349	0.294663	0.2307218	0.8116006
7	-59.20563	-1587.726	1528.521	0.5588826	0.00228278	0.00228278	0.04346784	0.12433	0.388339	0.104751	0.0724844	0.02928	0.280815	0.1872539	0.6518379	69.6516	0.8050732	0.0447543	0.288629	0.858799	2.80782	0.184942	0.35614	0.115994	0.342924	0.2307218	0.8116006
8	-44.36084	-1576.086	1531.725	0.5588826	0.002280588	0.002280588	0.05481689	0.12059	0.40674	0.1016	0.0703039	0.0283991	0.272368	0.2307335	0.6807106	69.10233	0.8050732	0.0447543	0.288629	0.858799	2.80782	0.186639	0.359408	0.107882	0.346071	0.2855504	0.8080308
9	0.2444221	-1529.338	1529.583	0.5586924	0.002294041	0.002294041	0.02226008	0.145905	0.492124	0.122928	0.0850624	0.0386825	0.115298	0.2764182	0.7817771	69.2698	0.8050732	0.0447163	0.288516	0.858687	2.80808	0.207016	0.29745	0.111681	0.383853	0.2986783	0.9254714
