Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-74165.4	-73952.04	-213.3632	1.194526	0.001	0.001	0.02	0.296738	0.0183689	0.00310281	0.335492	0.0681679	0.27813	0.48	0.1	67.03196	0.6125707	0.17406	0.528317	1.026	2.27162	0.15575	0.166644	0.371833	0.305773	0.5	0.96
1	-53681.87	-53427.76	-254.1104	0.674135	0.001672562	0.001672562	0.03701669	0.501971	0.0125281	0.00219125	0.228815	0.0648019	0.189692	0.48	0.1003245	67.66154	0.8295523	0.0686743	0.351066	0.914893	2.66537	0.108814	0.116424	0.259778	0.514984	0.5170167	0.9284033
2	-47904.8	-47648.41	-256.3872	0.4014949	0.002659939	0.002659939	0.01927447	0.520072	0.0153107	0.00227027	0.237066	0.0858605	0.13942	0.4745364	0.08249785	66.87402	0.8295523	0.0169307	0.182872	0.732893	3.0673	0.108814	0.116424	0.259778	0.514984	0.4938108	0.9609679
3	-45424.98	-45158.23	-266.7507	0.2284276	0.002762189	0.002762189	-0.004705321	0.538492	0.0158529	0.00290508	0.200531	0.0978599	0.144359	0.4566625	0.08249785	67.35163	0.8295523	0.00125402	0.0516158	0.453733	3.4934	0.109873	0.107824	0.262307	0.519997	0.4519572	1.010411
4	-43382	-43117.16	-264.846	0.1541004	0.002892709	0.002892709	0.01877893	0.572839	0.0182266	0.00318321	0.174124	0.106279	0.125348	0.4410489	0.07437607	66.88875	0.8295523	6.78351e-05	0.0121602	0.254157	3.73362	0.109873	0.107824	0.262307	0.519997	0.4598278	0.9591609
5	-42334.8	-42070.85	-263.9575	0.2222482	0.002995268	0.002995268	-0.001285514	0.582045	0.0289681	0.00323436	0.176922	0.107987	0.100844	0.4611133	0.0655919	66.71466	0.8534766	0.00106012	0.0475152	0.439202	3.51222	0.109873	0.107824	0.262307	0.519997	0.4598278	1.002796
6	-41662.99	-41399.08	-263.916	0.2296684	0.003031764	0.003031764	-0.01706802	0.593956	0.0295609	0.00485089	0.180542	0.110197	0.0808922	0.441567	0.06379417	67.15322	0.8534766	0.00129562	0.0524521	0.456605	3.48965	0.111559	0.122077	0.256962	0.509402	0.424499	1.040207
7	-40102.4	-39839.87	-262.5345	0.2367142	0.00407409	0.00407409	-0.0114027	0.566393	0.0281891	0.00561406	0.154378	0.168287	0.0771383	0.441567	0.06394875	66.48909	0.8534766	0.00154931	0.0572773	0.472618	3.46856	0.129792	0.14203	0.298962	0.429216	0.4301643	1.026508
8	-38504.79	-38240.04	-264.7519	0.2747584	0.005864518	0.005864518	-0.0392297	0.570178	0.0283775	0.00635586	0.15541	0.169412	0.0702672	0.4065589	0.06741019	66.17934	0.8534766	0.00347155	0.0850652	0.550875	3.36059	0.13077	0.1431	0.301214	0.424915	0.3673292	1.106797
9	-38190.58	-37932.73	-257.8589	0.2847948	0.005864518	0.005864518	-0.003767947	0.56213	0.0376315	0.00626614	0.145866	0.178832	0.0692754	0.398273	0.08120539	66.56043	0.8534766	0.00414313	0.0927316	0.569361	3.33376	0.13077	0.1431	0.301214	0.424915	0.3945051	1.009551
10	-37193.92	-36937.1	-256.8197	0.444893	0.006044103	0.006044103	0.001750905	0.566328	0.0379125	0.00631293	0.146955	0.180167	0.0623248	0.398273	0.0767584	66.98563	0.8534766	0.0236876	0.214428	0.775626	2.98626	0.135362	0.148125	0.276679	0.439834	0.4000239	0.995623
11	-36716.17	-36456.55	-259.614	0.4623102	0.006077409	0.006077409	0.002841561	0.551057	0.0541652	0.00674563	0.157027	0.192516	0.0384888	0.3971824	0.07574553	66.74419	0.8534766	0.0266333	0.2266	0.790781	2.95599	0.155388	0.17004	0.317614	0.356958	0.4000239	0.9928965
12	-35381.04	-35125.99	-255.0528	0.6330082	0.006855386	0.006855386	0.0199299	0.441048	0.066781	0.00937732	0.193601	0.237356	0.0518369	0.3420031	0.06073803	66.99315	0.8534766	0.0599795	0.33013	0.897268	2.71262	0.155388	0.17004	0.317614	0.356958	0.361933	0.9449348
13	-35006.83	-34748.97	-257.8638	0.6443433	0.006880335	0.006880335	0.01726565	0.426594	0.0645925	0.0112484	0.187256	0.26017	0.0501382	0.3420031	0.0589974	66.64185	0.8534766	0.0623639	0.336042	0.902359	2.69924	0.166174	0.167868	0.313558	0.3524	0.3592688	0.9519422
