"","Author","specName","Macro/micro","morphDes","spinose","structure","aperture","mph","mphRef","eco","ecoRef","geo","geoRef","mEn_CK1995","mSt_CK1995","latest","p95","p5","earliest","neptComp","treeComp","dateRef","mpSpcs","lnSpcs","Comments","Average Area (μm2)","log area","Approximate diameter","Morphospecies","mph_simplified","mph_keeled","mph_aperture"
"1","TA","Acarinina africana","Macroperforate","Umbilico-convex to weakly biconvex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low arch sometimes with faint lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low to middle latitudes","Berggren et al. (2006b)",55.3,55.4,NA,NA,NA,NA,NA,0,"Berggren et al. (2006b)","t229","T108",NA,31501.9592454615,10.3578050211481,100.136831695382,"Acarinina africana","NS-muricate",FALSE,FALSE
"2","TA","Acarinina alticonica","Macroperforate","Biconvex to subspherical, moderate to high trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low arch bordered by distinct lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low to middle latitudes","Berggren et al. (2006b)",47,53.2,35.907513,44.88424825,52.1421223,52.186307,44.44444444,85.71428571,"Berggren et al. (2006b)","n246t247","N119","part of N119T120",76151.2728499934,11.2404770732196,155.691049818646,"Acarinina alticonica","NS-muricate",FALSE,FALSE
"3","TA","Acarinina angulosa","Macroperforate","Umbilico-convex, trochospiral","Non-spinose","Muricate","Interiomarginal umbilical low arch extending nearly to periphery","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low to middle latitudes","Berggren et al. (2006b)",46.4,55.7,35.83954,37.363607,55.5699072,56.244645,54.54545455,90,"Berggren et al. (2006b)","n231t232","T116",NA,126189.023326524,11.7455362469112,200.417598161213,"Acarinina angulosa","NS-muricate",FALSE,FALSE
"4","TA","Acarinina aspensis","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical opening extending to peripheral margin","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low latitudes","Berggren et al. (2006b)",48.7,50.4,44.915447,46.094777,49.33238235,50.623515,85.71428571,100,"Berggren et al. (2006b)","t243","T111",NA,104685.852605777,11.5587192645747,182.544629688189,"Acarinina aspensis","NS-muricate",FALSE,FALSE
"5","TA","Acarinina boudreauxi","Macroperforate","Planoconvex umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low arch","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Probably widespread currently only known from Indian Ocean","Berggren et al. (2006b)",43.7,49.8,NA,NA,NA,NA,NA,0,"Berggren et al. (2006b)","n259n261t262","N133T135",NA,63303.7777651453,11.0557002866855,141.951464576549,"Acarinina boudreauxi","NS-muricate",FALSE,FALSE
"6","TA","Acarinina bullbrooki","Macroperforate","Umbilico-convex, low trochospiral, quadrate","Non-spinose","Muricate","Umbilical-extraumbilical low rimmed opening extending toward but not reaching periphery","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Boersma (1984);  Pearson et al. (1993, 2001a)","Cosmopolitan","Berggren et al. (2006b)",40.5,49,22.484285,36.134836,49.3609148,52.186307,90.32258065,100,"Berggren et al. (2006b)","t260","N133T135",NA,98270.633828863,11.4954805212071,176.86298162497,"Acarinina bullbrooki","NS-muricate",FALSE,FALSE
"7","TA","Acarinina coalingensis","Macroperforate","Trochospiral, globular","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical small slit","NS-muricate, acarininiform","Olsson et al. (1999)","Symbiotic SML","Pearson et al. (1993, 2001a)","Cosmopolitan","Olsson et al. (1999)",50.1,56.5,42.17815,42.4894399,55.7497603,56.564047,86.66666667,100,"Olsson et al. (1999)","n283t284","N126","part of N126T127",78413.3225162558,11.2697491219563,157.98650501053,"Acarinina coalingensis","NS-muricate",FALSE,FALSE
"8","TA","Acarinina collactea","Macroperforate","Biconvex, low trochospiral","Non-spinose","Muricate","Low-arched slit along base of last chamber","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Pearson et al. (1993, 2001a)","Cosmopolitan","Berggren et al. (2006b)",24.2,50.4,22.726151,28.02250455,49.87957585,54.197849,87.87878788,90.47619048,"Berggren et al. (2006b)","n238t239","N112T113","part of N110N112T113",30561.0602078657,10.3274819353444,98.630054224976,"Acarinina collactea","NS-muricate",FALSE,FALSE
"9","TA","Acarinina cuneicamerata","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical extending almost to periphery bordered by distinct circumumbilical lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Boersma et al. (1987); Pearson et al. (2001a)","Equatorial Atlantic, Tethyan region and Indian Ocean","Berggren et al. (2006b)",44,50.4,45.434052,45.655122,50.1963914,51.333131,71.42857143,57.14285714,"Berggren et al. (2006b)","t233","T116",NA,120206.472446417,11.6969661469415,195.609070758424,"Acarinina cuneicamerata","NS-muricate",FALSE,FALSE
"10","TA","Acarinina echinata","Macroperforate","Biconvex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low arch with narrow lip and two-three low-arched supplementary apertures along umbilical sutures","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low latitudes and southern middle to high latitudes","Berggren et al. (2006b)",28.95,43.2,18.66568,25.75641775,40.3566076,41.666905,58.33333333,61.53846154,"Berggren et al. (2006b)","t250","T121",NA,46213.3526123915,10.7410240528965,121.285477326107,"Acarinina echinata","NS-muricate",FALSE,FALSE
"11","TA","Acarinina esnaensis","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical long low arch extending nearly to the periphery with very thin lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low to high latitudes","Berggren et al. (2006b)",51.2,56.3,20.939572,44.3714881,57.3381373,59.148387,45,100,"Berggren et al. (2006b)","n252t253","N128T129",NA,62192.0032354324,11.0379817051153,140.69942953478,"Acarinina esnaensis","NS-muricate",FALSE,FALSE
"12","TA","Acarinina esnehensis","Macroperforate","Umbilico-convex, low to moderately high spired trochospiral, subquadrate outline","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical long low arch extending with thin lip extending nearly to periphery","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low to high latitudes","Berggren et al. (2006b)",50.4,55.8,NA,NA,NA,NA,NA,0,"Berggren et al. (2006b)","n225n226","N104T105",NA,128652.037877975,11.7648666580662,202.36406680597,"Acarinina esnehensis","NS-muricate",FALSE,FALSE
"13","TA","Acarinina interposita","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical arch with thin lip extending almost to periphery","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Tethys (Egypt) and in the northern Caucasus","Berggren et al. (2006b)",50.4,54,46.204504,46.9212557,52.607762,53.161126,75,75,"Berggren et al. (2006b)","n235t236","N110","part of N110N112T113",80677.0061574412,11.2982088837624,160.250705607258,"Acarinina interposita","NS-muricate",FALSE,FALSE
"14","TA","Acarinina mcgowrani","Macroperforate","Moderate trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical opening supplementary apertures frequently occur commonly with bullae","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Pearson et al. (1993); Wade & Kroon (2002) Wade (2004)","Low to middle latitudes","Berggren et al. (2006b)",38,49.25,NA,NA,NA,NA,NA,0,"Berggren et al. (2006b)","n266t280","N136T140","2 lineages N130N131N136N142N144T148 and T140",79368.5706717502,11.2818577335033,158.945904939684,"Acarinina mcgowrani","NS-muricate",FALSE,FALSE
"15","TA","Acarinina mckannai","Macroperforate","Umbilico-convex, trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical elongate opening","NS-muricate, acarininiform","Olsson et al. (1999)","Symbiotic SML","Shackleton et al. (1985)","Low latitudes","Olsson et al. (1999)",56.3,59.1,45.245712,49.1821279,58.6582081,60.192765,87.5,100,"Olsson et al. (1999)","n222t223","N103","part of N103N109N115N117T118",43466.6666666667,10.6797496398066,117.625973829998,"Acarinina mckannai","NS-muricate",FALSE,FALSE
"16","TA","Acarinina medizzai","Macroperforate","Biconvex trochospiral, quadrate to subcircular outline","Non-spinose","Muricate","Umbilical-extraumbilical small indistinct low arch","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Cosmopolitan","Berggren et al. (2006b)",28.65,42.5,38.226175,40.85370325,53.238228,56.395305,78.94736842,50,"Berggren et al. (2006b)","t240","T114",NA,21617.041007647,9.98123721816541,82.9512981379703,"Acarinina medizzai","NS-muricate",FALSE,FALSE
"17","TA","Acarinina nitida","Macroperforate","Umbilico-convex, trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical narrow opening with slight lip","NS-muricate, acarininiform","Olsson et al. (1999)","Symbiotic SML","D'hondt et al. (1994)","Low to high southern latitudes","Olsson et al. (1999)",56.3,59.2,43.653507,49.07123475,56.96549425,59.427956,76.47058824,100,"Olsson et al. (1999)","n219n281n251t282","N99N125",NA,52472.2222222222,10.8680392080275,129.237870159509,"Acarinina nitida","NS-muricate",FALSE,FALSE
"18","TA","Acarinina pentacamerata","Macroperforate","Weakly biconvex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low slit","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Cosmopolitan","Berggren et al. (2006b)",47,52.3,8.101641,42.81368425,52.19613875,52.724678,28.88888889,100,"Berggren et al. (2006b)","n237n241t242","N110N112","part of N110N112T113",91823.315510521,11.4276215259568,170.962771120417,"Acarinina pentacamerata","NS-muricate",FALSE,FALSE
"19","TA","Acarinina praetopilensis","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical opening with weak rim","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Boersma et al. (1987) Pearson et al. (1993)","Low to middle latitudes","Berggren et al. (2006b)",40,48.7,43.38355,43.6126493,52.81993935,53.494228,90.90909091,55.55555556,"Berggren et al. (2006b)","n267n275t276","N136N142N144T148","part of N130N131N136N142N144T148",112955.27720741,11.6347472424285,189.617460777612,"Acarinina praetopilensis","NS-muricate",FALSE,FALSE
"20","TA","Acarinina primitiva","Macroperforate","Sub-quadrate, trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical asymmetrically placed","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Middle to high latitudes, less commonly in low latitudes","Berggren et al. (2006b)",38.8,50.8,17.440699,26.8412296,51.83629675,56.11618,90,100,"Berggren et al. (2006b)","n285t286","N126T127",NA,53743.4521686504,10.8919771184511,130.79400652525,"Acarinina primitiva","NS-muricate",FALSE,FALSE
"21","TA","Acarinina pseudosubsphaerica","Macroperforate","Spiroconvex, high trochospiral","Non-spinose","Muricate","Umbilical slit or low broad arch","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Pearson et al. (1993)","Low to middle latitudes","Berggren et al. (2006b)",42.3,50.4,49.200319,49.70634585,57.3916706,58.614487,100,22.22222222,"Berggren et al. (2006b)","n248t249","N119T120",NA,52406.3252252948,10.8667825734306,129.156693275162,"Acarinina pseudosubsphaerica","NS-muricate",FALSE,FALSE
"22","TA","Acarinina pseudotopilensis","Macroperforate","Umbilico-convex to weakly biconvex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low arch bordered by narrow continuous lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Boersma et al. (1987)","Low latitudes","Berggren et al. (2006b)",47.25,55.5,35.907513,43.6957,55.0344195,59.06231,76,100,"Berggren et al. (2006b)","n256n258n264t265","N130N131","part of N130N131N136N142N144T148",87001.9596240985,11.373685921798,166.413893247269,"Acarinina pseudotopilensis","NS-muricate",FALSE,FALSE
"23","TA","Acarinina punctocarinata","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low arch bordered by distinct lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Cosmopolitan","Berggren et al. (2006b)",40.5,47,NA,NA,NA,NA,NA,0,"Berggren et al. (2006b)","t263","T134",NA,114300.448654326,11.6465857750099,190.743185466519,"Acarinina punctocarinata","NS-muricate",FALSE,FALSE
"24","TA","Acarinina quetra","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low extending towards (but not reaching) periphery","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low latitudes","Berggren et al. (2006b)",50.4,54,50.22795,50.22795,50.22795,50.22795,100,25,"Berggren et al. (2006b)","t257","T132",NA,134428.735030503,11.808789486529,206.857427585742,"Acarinina quetra","NS-muricate",FALSE,FALSE
"25","TA","Acarinina rohri","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical low extending towards peripheral margin","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","This study","Low latitudes","Berggren et al. (2006b)",38.2,42.8,36.817603,37.802145,48.17588395,48.402085,76.92307692,80,"Berggren et al. (2006b)","t279","T147",NA,139082.644047576,11.8428235969245,210.407653370605,"Acarinina rohri","NS-muricate",FALSE,FALSE
"26","TA","Acarinina sibaiyaensis","Macroperforate","Umbilico-convex, trochospiral almost planispiral","Non-spinose","Muricate","Umbilical-extraumbilical circular arch with lip to well-developed flange","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Kelly et al. (1998)","Low latitudes","Berggren et al. (2006b)",55.3,55.5,NA,NA,NA,NA,NA,0,"Berggren et al. (2006b)","n227t228","N106T107",NA,88204.2337323011,11.3874102423429,167.559779184198,"Acarinina sibaiyaensis","NS-muricate",FALSE,FALSE
"27","TA","Acarinina soldadoensis","Macroperforate","Umbilico-convex, low trochospiral","Non-spinose","Muricate","Large arcuate apertures of last-formed chambers with thin bordering lips","NS-muricate, acarininiform","Olsson et al. (1999)","Symbiotic SML","Pearson et al. (1993, 2001a)","Cosmopolitan","Olsson et al. (1999)",49,56.5,35.907513,43.650891,56.4230448,59.06231,64,100,"Olsson et al. (1999)","n224n230n234n244t245","N103N109N115N117T118",NA,103837.359992193,11.5505811078107,181.803350466212,"Acarinina soldadoensis","NS-muricate",FALSE,FALSE
"28","TA","Acarinina strabocella","Macroperforate","Biconvex, trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical slit with lip","NS-muricate, acarininiform","Olsson et al. (1999)","Symbiotic SML","This study","Northern middle latitudes to the Southern Ocean","Olsson et al. (1999)",58.8,60.6,48.491699,51.8833024,59.421609,59.875417,75,50,"Olsson et al. (1999)","n217t218","N99","part of N99N125",35035.6470293747,10.4641213087196,105.603943194825,"Acarinina strabocella","NS-muricate",FALSE,FALSE
"29","TA","Acarinina subsphaerica","Macroperforate","Spiroconvex, trochospiral","Non-spinose","Muricate","Interiomarginal umbilical-extraumbilical semicircular arch","NS-muricate, acarininiform","Olsson et al. (1999)","Symbiotic SML","This study","Cosmopolitan","Olsson et al. (1999)",54.2,59.2,51.333131,52.060963,57.749184,60.361576,90,83.33333333,"Olsson et al. (1999)","n220t221","N102T100",NA,65005.1549546413,11.0822218527276,143.846388466904,"Acarinina subsphaerica","NS-muricate",FALSE,FALSE
"30","TA","Acarinina topilensis","Macroperforate","Umbilico-convex, trochospiral","Non-spinose","Muricate","Umbilical-extraumbilical arch with thin lip","NS-muricate, acarininiform","Berggren et al. (2006b)","Symbiotic SML","Pearson et al. (1993, 2001a)","Low to middle latitudes","Berggren et al. (2006b)",40.3,43.2,39.326508,40.1823065,46.7878145,47.460416,100,100,"Berggren et al. (2006b)","n277t278","N144N145T146","2 lineages N130N131N136N142N144T148 and N145T146",115450.78597962,11.656599622725,191.700616965627,"Acarinina topilensis","NS-muricate",FALSE,FALSE
