"model","rate_type","mean_correlation","median_ci_lower","median_ci_upper","median_p_value","n"
"Extant_Microperforate","birth",-0.0512951912971758,-0.0714469008431506,-0.0115500233189448,0.00675945002948847,10
"Extant_Microperforate","death",-0.0272548699080861,-0.0562903139105749,0.00390403419934453,0.124037159874349,10
"Extant_NonSpinose","birth",-0.0118719090667078,-0.0401712093267785,0.00808494047993014,0.141728397116829,10
"Extant_NonSpinose","death",0.0328176015017709,0.00227486052326282,0.0520641362190204,0.0343210082866303,10
"Extant_Spinose","birth",-0.012967432437497,-0.0557648719125943,0.0262474116852248,0.0821275280679284,10
"Extant_Spinose","death",0.0184336473350809,-0.0138963867105399,0.0519751118091313,0.177607845150728,10
"Fossil_MixedSpinose","birth",0.0368067909546978,0.0129425863912621,0.0622347528907557,9.87527564121877e-05,10
"Fossil_MixedSpinose","death",-0.107187976754032,-0.134062279687858,-0.0849411117337787,9.58094953043293e-14,10
"Fossil_NonSpinoseOnly","birth",-0.0331483784626367,-0.0539128981972798,-0.0040284410218174,0.0043907425721361,10
"Fossil_NonSpinoseOnly","death",-0.0860234737087841,-0.108381239926675,-0.0582667361572722,0.013637103587691,10
"Fossil_SpinoseOnly","birth",0.0289368162557364,0.00776779197651594,0.0570149007953799,0.0100347274143212,10
"Fossil_SpinoseOnly","death",-0.0576388175758425,-0.0725182402696656,-0.0233813291844974,0.000134118263859112,10
