"Predictor","Statistic","pvalue","model","seed","phylo_type","model_simplified"
"Size",0.0530905235109146,0.486,"Fossil_MixedSpinose","seed0","Morphospecies Phylogenies","Mixed Spinose"
"Ecogroup",0.269308349915173,0.322,"Fossil_MixedSpinose","seed0","Morphospecies Phylogenies","Mixed Spinose"
"Morphogroup",0.180496596018105,0.896,"Fossil_MixedSpinose","seed0","Morphospecies Phylogenies","Mixed Spinose"
"Keel",0.0670704414786663,0.34,"Fossil_MixedSpinose","seed0","Morphospecies Phylogenies","Mixed Spinose"
"Size",0.076963916689693,0.334,"Fossil_MixedSpinose","seed1","Morphospecies Phylogenies","Mixed Spinose"
"Ecogroup",0.333114018043524,0.19,"Fossil_MixedSpinose","seed1","Morphospecies Phylogenies","Mixed Spinose"
"Morphogroup",0.233190829213075,0.788,"Fossil_MixedSpinose","seed1","Morphospecies Phylogenies","Mixed Spinose"
"Keel",0.0537152537304412,0.431,"Fossil_MixedSpinose","seed1","Morphospecies Phylogenies","Mixed Spinose"
"Size",0.0675508090702309,0.373,"Fossil_MixedSpinose","seed2","Morphospecies Phylogenies","Mixed Spinose"
"Ecogroup",0.233221698303661,0.454,"Fossil_MixedSpinose","seed2","Morphospecies Phylogenies","Mixed Spinose"
"Morphogroup",0.183761908652455,0.889,"Fossil_MixedSpinose","seed2","Morphospecies Phylogenies","Mixed Spinose"
"Keel",0.0624317802854392,0.405,"Fossil_MixedSpinose","seed2","Morphospecies Phylogenies","Mixed Spinose"
"Size",0.065618571532152,0.393,"Fossil_MixedSpinose","seed3","Morphospecies Phylogenies","Mixed Spinose"
"Ecogroup",0.264278792920247,0.313,"Fossil_MixedSpinose","seed3","Morphospecies Phylogenies","Mixed Spinose"
"Morphogroup",0.28926524189987,0.618,"Fossil_MixedSpinose","seed3","Morphospecies Phylogenies","Mixed Spinose"
"Keel",0.0228866605440538,0.674,"Fossil_MixedSpinose","seed3","Morphospecies Phylogenies","Mixed Spinose"
"Size",0.0906551720844286,0.277,"Fossil_MixedSpinose","seed4","Morphospecies Phylogenies","Mixed Spinose"
"Ecogroup",0.234994571021253,0.434,"Fossil_MixedSpinose","seed4","Morphospecies Phylogenies","Mixed Spinose"
"Morphogroup",0.196374459222542,0.852,"Fossil_MixedSpinose","seed4","Morphospecies Phylogenies","Mixed Spinose"
"Keel",0.0909810081230194,0.236,"Fossil_MixedSpinose","seed4","Morphospecies Phylogenies","Mixed Spinose"
"Size",0.0734485687766575,0.082,"Fossil_NonSpinoseOnly","seed0","Morphospecies Phylogenies","Non-Spinose Only"
"Ecogroup",0.20653611584304,0.054,"Fossil_NonSpinoseOnly","seed0","Morphospecies Phylogenies","Non-Spinose Only"
"Morphogroup",0.163807800497014,0.16,"Fossil_NonSpinoseOnly","seed0","Morphospecies Phylogenies","Non-Spinose Only"
"Keel",0.0244200864378237,0.395,"Fossil_NonSpinoseOnly","seed0","Morphospecies Phylogenies","Non-Spinose Only"
"Size",0.0508421031130931,0.186,"Fossil_NonSpinoseOnly","seed1","Morphospecies Phylogenies","Non-Spinose Only"
"Ecogroup",0.23807605477044,0.037,"Fossil_NonSpinoseOnly","seed1","Morphospecies Phylogenies","Non-Spinose Only"
"Morphogroup",0.153865844024254,0.186,"Fossil_NonSpinoseOnly","seed1","Morphospecies Phylogenies","Non-Spinose Only"
"Keel",0.0374626151813261,0.244,"Fossil_NonSpinoseOnly","seed1","Morphospecies Phylogenies","Non-Spinose Only"
"Size",0.0842363970064414,0.07,"Fossil_NonSpinoseOnly","seed2","Morphospecies Phylogenies","Non-Spinose Only"
"Ecogroup",0.247729606083081,0.025,"Fossil_NonSpinoseOnly","seed2","Morphospecies Phylogenies","Non-Spinose Only"
"Morphogroup",0.169544585339377,0.126,"Fossil_NonSpinoseOnly","seed2","Morphospecies Phylogenies","Non-Spinose Only"
"Keel",0.0157116397196725,0.551,"Fossil_NonSpinoseOnly","seed2","Morphospecies Phylogenies","Non-Spinose Only"
"Size",0.0252869772743884,0.398,"Fossil_NonSpinoseOnly","seed3","Morphospecies Phylogenies","Non-Spinose Only"
"Ecogroup",0.245124231398616,0.028,"Fossil_NonSpinoseOnly","seed3","Morphospecies Phylogenies","Non-Spinose Only"
"Morphogroup",0.148030858283429,0.216,"Fossil_NonSpinoseOnly","seed3","Morphospecies Phylogenies","Non-Spinose Only"
"Keel",0.0291642831709721,0.338,"Fossil_NonSpinoseOnly","seed3","Morphospecies Phylogenies","Non-Spinose Only"
"Size",0.0579211897472383,0.172,"Fossil_NonSpinoseOnly","seed4","Morphospecies Phylogenies","Non-Spinose Only"
"Ecogroup",0.169457532374877,0.165,"Fossil_NonSpinoseOnly","seed4","Morphospecies Phylogenies","Non-Spinose Only"
"Morphogroup",0.133928704182326,0.237,"Fossil_NonSpinoseOnly","seed4","Morphospecies Phylogenies","Non-Spinose Only"
"Keel",0.0407667427405033,0.215,"Fossil_NonSpinoseOnly","seed4","Morphospecies Phylogenies","Non-Spinose Only"
"Size",0.0104783561765322,0.817,"Fossil_SpinoseOnly","seed0","Morphospecies Phylogenies","Spinose Only"
"Ecogroup",0.221692546766651,0.434,"Fossil_SpinoseOnly","seed0","Morphospecies Phylogenies","Spinose Only"
"Morphogroup",0.086429160101512,0.703,"Fossil_SpinoseOnly","seed0","Morphospecies Phylogenies","Spinose Only"
"Size",0.0371041906808901,0.478,"Fossil_SpinoseOnly","seed1","Morphospecies Phylogenies","Spinose Only"
"Ecogroup",0.20731618701662,0.54,"Fossil_SpinoseOnly","seed1","Morphospecies Phylogenies","Spinose Only"
"Morphogroup",0.0727579679366576,0.801,"Fossil_SpinoseOnly","seed1","Morphospecies Phylogenies","Spinose Only"
"Size",0.00669237473549547,0.869,"Fossil_SpinoseOnly","seed2","Morphospecies Phylogenies","Spinose Only"
"Ecogroup",0.235085651133624,0.416,"Fossil_SpinoseOnly","seed2","Morphospecies Phylogenies","Spinose Only"
"Morphogroup",0.0475755450918534,0.896,"Fossil_SpinoseOnly","seed2","Morphospecies Phylogenies","Spinose Only"
"Size",0.0190192841598285,0.694,"Fossil_SpinoseOnly","seed3","Morphospecies Phylogenies","Spinose Only"
"Ecogroup",0.277704322622141,0.24,"Fossil_SpinoseOnly","seed3","Morphospecies Phylogenies","Spinose Only"
"Morphogroup",0.158706870356286,0.366,"Fossil_SpinoseOnly","seed3","Morphospecies Phylogenies","Spinose Only"
"Size",0.00805248587181311,0.857,"Fossil_SpinoseOnly","seed4","Morphospecies Phylogenies","Spinose Only"
"Ecogroup",0.164744035746216,0.73,"Fossil_SpinoseOnly","seed4","Morphospecies Phylogenies","Spinose Only"
"Morphogroup",0.0629147879625012,0.859,"Fossil_SpinoseOnly","seed4","Morphospecies Phylogenies","Spinose Only"
"Size",0.0358331598434312,0.67,"Extant_NonSpinose","seed0","Molecular Species Phylogenies","Non-Spinose"
"Ecogroup",0.267396235151337,0.148,"Extant_NonSpinose","seed0","Molecular Species Phylogenies","Non-Spinose"
"Morphogroup",0.0434577055225691,0.607,"Extant_NonSpinose","seed0","Molecular Species Phylogenies","Non-Spinose"
"Keel",0.051040773407756,0.582,"Extant_NonSpinose","seed0","Molecular Species Phylogenies","Non-Spinose"
"Size",0.163503792613067,0.137,"Extant_NonSpinose","seed1","Molecular Species Phylogenies","Non-Spinose"
"Ecogroup",0.176881730385604,0.348,"Extant_NonSpinose","seed1","Molecular Species Phylogenies","Non-Spinose"
"Morphogroup",0.00654442882885735,0.929,"Extant_NonSpinose","seed1","Molecular Species Phylogenies","Non-Spinose"
"Keel",0.0636610084651491,0.47,"Extant_NonSpinose","seed1","Molecular Species Phylogenies","Non-Spinose"
"Size",0.100106843189781,0.37,"Extant_NonSpinose","seed2","Molecular Species Phylogenies","Non-Spinose"
"Ecogroup",0.416700164063703,0.121,"Extant_NonSpinose","seed2","Molecular Species Phylogenies","Non-Spinose"
"Morphogroup",0.0213705785252826,0.78,"Extant_NonSpinose","seed2","Molecular Species Phylogenies","Non-Spinose"
"Keel",0.11778123901186,0.318,"Extant_NonSpinose","seed2","Molecular Species Phylogenies","Non-Spinose"
"Size",0.607034242966708,0.006,"Extant_NonSpinose","seed3","Molecular Species Phylogenies","Non-Spinose"
"Ecogroup",0.0936995833758408,0.652,"Extant_NonSpinose","seed3","Molecular Species Phylogenies","Non-Spinose"
"Morphogroup",0.154225032655143,0.137,"Extant_NonSpinose","seed3","Molecular Species Phylogenies","Non-Spinose"
"Keel",0.0054763910730806,0.94,"Extant_NonSpinose","seed3","Molecular Species Phylogenies","Non-Spinose"
"Size",0.579742738630574,0.012,"Extant_NonSpinose","seed4","Molecular Species Phylogenies","Non-Spinose"
"Ecogroup",0.211080803225838,0.403,"Extant_NonSpinose","seed4","Molecular Species Phylogenies","Non-Spinose"
"Morphogroup",0.128626392517986,0.399,"Extant_NonSpinose","seed4","Molecular Species Phylogenies","Non-Spinose"
"Keel",0.01108162125911,0.781,"Extant_NonSpinose","seed4","Molecular Species Phylogenies","Non-Spinose"
"Size",0.0879005109199299,0.298,"Extant_Spinose","seed0","Molecular Species Phylogenies","Spinose"
"Ecogroup",0.270185181675704,0.367,"Extant_Spinose","seed0","Molecular Species Phylogenies","Spinose"
"Morphogroup",0.309164423649034,0.153,"Extant_Spinose","seed0","Molecular Species Phylogenies","Spinose"
"Size",0.129589491001313,0.189,"Extant_Spinose","seed1","Molecular Species Phylogenies","Spinose"
"Ecogroup",0.246725865237907,0.47,"Extant_Spinose","seed1","Molecular Species Phylogenies","Spinose"
"Morphogroup",0.168828637530859,0.556,"Extant_Spinose","seed1","Molecular Species Phylogenies","Spinose"
"Size",0.135730567330293,0.149,"Extant_Spinose","seed2","Molecular Species Phylogenies","Spinose"
"Ecogroup",0.2760355118132,0.397,"Extant_Spinose","seed2","Molecular Species Phylogenies","Spinose"
"Morphogroup",0.244016940502693,0.31,"Extant_Spinose","seed2","Molecular Species Phylogenies","Spinose"
"Size",0.108434708819108,0.184,"Extant_Spinose","seed3","Molecular Species Phylogenies","Spinose"
"Ecogroup",0.216974480880112,0.446,"Extant_Spinose","seed3","Molecular Species Phylogenies","Spinose"
"Morphogroup",0.191589973183863,0.383,"Extant_Spinose","seed3","Molecular Species Phylogenies","Spinose"
"Size",0.338893533781569,0.006,"Extant_Spinose","seed4","Molecular Species Phylogenies","Spinose"
"Ecogroup",0.365345615787332,0.175,"Extant_Spinose","seed4","Molecular Species Phylogenies","Spinose"
